seqno,inning,half,pitch_id,pitch_num,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance
493,9,0,260405_164831,1,H,직구,151,54263,김택연,79192,채은성,0,0,0,0.73368,0.7083,2.599826595456893,3.424,1.661,R
496,9,0,260405_164903,1,B,직구,151,54263,김택연,54795,황영묵,1,0,1,1.23137,0.7083,2.5697420095439587,3.272,1.587,L
497,9,0,260405_164917,2,F,슬라이더,134,54263,김택연,54795,황영묵,1,1,1,0.882493,0.7083,1.3391332170240458,3.272,1.587,L
498,9,0,260405_164938,3,B,포크,138,54263,김택연,54795,황영묵,2,1,1,0.406506,0.7083,4.056305951524641,3.272,1.587,L
499,9,0,260405_164954,4,B,포크,134,54263,김택연,54795,황영묵,3,1,1,-1.31474,0.7083,3.6022973367812643,3.272,1.587,L
500,9,0,260405_165009,5,T,직구,149,54263,김택연,54795,황영묵,3,2,1,-0.648002,0.7083,1.7825039680606232,3.272,1.587,L
501,9,0,260405_165026,6,H,직구,150,54263,김택연,54795,황영묵,3,2,1,1.14938,0.7083,2.901675069761942,3.272,1.587,L
504,9,0,260405_165100,1,B,슬라이더,137,54263,김택연,52764,허인서,1,0,2,1.05847,0.7083,1.91768502451536,3.4,1.649,R
505,9,0,260405_165114,2,S,슬라이더,136,54263,김택연,52764,허인서,1,1,2,0.031095,0.7083,2.544865015552556,3.4,1.649,R
506,9,0,260405_165130,3,B,슬라이더,133,54263,김택연,52764,허인서,2,1,2,-1.58057,0.7083,2.5420590368633422,3.4,1.649,R
507,9,0,260405_165145,4,T,슬라이더,134,54263,김택연,52764,허인서,2,2,2,0.40135,0.7083,2.660976378890181,3.4,1.649,R
508,9,0,260405_165201,5,B,직구,152,54263,김택연,52764,허인서,3,2,2,0.561929,0.7083,0.5904893088013798,3.4,1.649,R
509,9,0,260405_165220,6,B,슬라이더,132,54263,김택연,52764,허인서,4,2,2,1.43569,0.7083,3.2566350819743586,3.4,1.649,R
513,9,0,260405_165310,1,B,직구,149,54263,김택연,50707,최인호,1,0,2,-0.191007,0.7083,0.10948928492623367,3.296,1.599,L
514,9,0,260405_165329,2,F,직구,148,54263,김택연,50707,최인호,1,1,2,0.16706,0.7083,3.8242054318163987,3.296,1.599,L
515,9,0,260405_165351,3,T,포크,135,54263,김택연,50707,최인호,1,2,2,-0.166856,0.7083,2.6338417448640588,3.296,1.599,L
516,9,0,260405_165410,4,S,포크,135,54263,김택연,50707,최인호,1,3,2,-0.12779,0.7083,0.6377037427212136,3.296,1.599,L
