seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,260329_140024,1,1구 볼,B,직구,147,56719,왕옌청,78288,최재훈,50167,이주형,1,0,0,-0.780705,0.7083,3.469428190647827,3.334,1.617,L,,
3,1,0,260329_140041,2,2구 파울,F,투심,144,56719,왕옌청,78288,최재훈,50167,이주형,1,1,0,0.630249,0.7083,2.5325871431046356,3.334,1.617,L,,
4,1,0,260329_140106,3,3구 스트라이크,T,직구,146,56719,왕옌청,78288,최재훈,50167,이주형,1,2,0,-0.583394,0.7083,3.0271918367812343,3.334,1.617,L,,
5,1,0,260329_140124,4,4구 볼,B,스위퍼,128,56719,왕옌청,78288,최재훈,50167,이주형,2,2,0,-1.85256,0.7083,2.887369987507762,3.334,1.617,L,,
6,1,0,260329_140141,5,5구 파울,F,직구,145,56719,왕옌청,78288,최재훈,50167,이주형,2,2,0,0.211663,0.7083,3.2005173219167586,3.334,1.617,L,,
7,1,0,260329_140202,6,6구 볼,B,스위퍼,125,56719,왕옌청,78288,최재훈,50167,이주형,3,2,0,-1.12245,0.7083,3.2706724862273786,3.334,1.617,L,,
8,1,0,260329_140222,7,7구 헛스윙,S,스위퍼,128,56719,왕옌청,78288,최재훈,50167,이주형,3,3,0,-0.577182,0.7083,2.2766782271626833,3.334,1.617,L,이주형 : 삼진 아웃,13
11,1,0,260329_140249,1,1구 볼,B,직구,145,56719,왕옌청,78288,최재훈,79608,안치홍,1,0,1,1.13236,0.7083,2.9001714116366673,3.263,1.583,R,,
12,1,0,260329_140306,2,2구 볼,B,투심,146,56719,왕옌청,78288,최재훈,79608,안치홍,2,0,1,-0.992576,0.7083,2.1404281381252135,3.263,1.583,R,,
13,1,0,260329_140324,3,3구 스트라이크,T,투심,147,56719,왕옌청,78288,최재훈,79608,안치홍,2,1,1,-0.383004,0.7083,1.5142761847426678,3.263,1.583,R,,
14,1,0,260329_140344,4,4구 볼,B,투심,146,56719,왕옌청,78288,최재훈,79608,안치홍,3,1,1,-0.722344,0.7083,1.2079762975909356,3.263,1.583,R,,
15,1,0,260329_140403,5,5구 타격,H,직구,146,56719,왕옌청,78288,최재훈,79608,안치홍,3,1,1,-0.019351,0.7083,2.503394794075355,3.263,1.583,R,안치홍 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),13
18,1,0,260329_140442,1,1구 헛스윙,S,직구,147,56719,왕옌청,78288,최재훈,56322,브룩스,0,1,2,1.05959,0.7083,3.13083655874346,3.329,1.615,L,,
19,1,0,260329_140459,2,2구 헛스윙,S,직구,147,56719,왕옌청,78288,최재훈,56322,브룩스,0,2,2,0.529668,0.7083,4.1585981241364,3.329,1.615,L,,
21,1,0,260329_140552,3,3구 타격,H,스위퍼,126,56719,왕옌청,78288,최재훈,56322,브룩스,0,2,2,-1.16298,0.7083,2.6147902208900384,3.329,1.615,L,브룩스 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
25,1,1,260329_140803,1,1구 스트라이크,T,직구,146,64350,하영민,53312,김건희,56754,오재원,0,1,0,-0.095673,0.7083,3.0524392527659856,3.248,1.576,L,,
26,1,1,260329_140819,2,2구 타격,H,포크,131,64350,하영민,53312,김건희,56754,오재원,0,1,0,-0.088966,0.7083,2.2947284401337162,3.248,1.576,L,오재원 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),13
29,1,1,260329_140900,1,1구 볼,B,직구,146,64350,하영민,53312,김건희,54730,페라자,1,0,1,-1.06029,0.7083,4.512235385626594,3.25,1.576,L,,
30,1,1,260329_140914,2,2구 볼,B,커브,122,64350,하영민,53312,김건희,54730,페라자,2,0,1,-0.215268,0.7083,3.887948866433791,3.25,1.576,L,,
31,1,1,260329_140930,3,3구 파울,F,직구,146,64350,하영민,53312,김건희,54730,페라자,2,1,1,-0.133751,0.7083,3.033588503174907,3.25,1.576,L,,
32,1,1,260329_140950,4,4구 헛스윙,S,포크,134,64350,하영민,53312,김건희,54730,페라자,2,2,1,-0.35099,0.7083,2.420954396917867,3.25,1.576,L,,
33,1,1,260329_141021,5,5구 타격,H,포크,134,64350,하영민,53312,김건희,54730,페라자,2,2,1,-0.366429,0.7083,3.12511394226853,3.25,1.576,L,페라자 : 우익수 플라이 아웃,13
36,1,1,260329_141057,1,1구 볼,B,커브,124,64350,하영민,53312,김건희,53764,문현빈,1,0,2,1.0656,0.7083,0.32965330561150985,3.17,1.537,L,,
37,1,1,260329_141115,2,2구 볼,B,포크,133,64350,하영민,53312,김건희,53764,문현빈,2,0,2,-1.25034,0.7083,2.0713707543237017,3.17,1.537,L,,
38,1,1,260329_141133,3,3구 스트라이크,T,포크,134,64350,하영민,53312,김건희,53764,문현빈,2,1,2,-0.887265,0.7083,2.4900842694858243,3.17,1.537,L,,
39,1,1,260329_141152,4,4구 스트라이크,T,포크,135,64350,하영민,53312,김건희,53764,문현빈,2,2,2,0.656174,0.7083,2.1972261811306617,3.17,1.537,L,,
40,1,1,260329_141212,5,5구 볼,B,슬라이더,130,64350,하영민,53312,김건희,53764,문현빈,3,2,2,1.876,0.7083,-0.09009883200871105,3.17,1.537,L,,
41,1,1,260329_141237,6,6구 볼,B,포크,135,64350,하영민,53312,김건희,53764,문현빈,4,2,2,1.15144,0.7083,1.4171170285939536,3.17,1.537,L,문현빈 : 볼넷,13
44,1,1,260329_141314,1,1구 파울,F,직구,146,64350,하영민,53312,김건희,69737,노시환,0,1,2,0.144359,0.7083,2.5430131952395643,3.364,1.631,R,,
45,1,1,260329_141337,2,2구 볼,B,포크,133,64350,하영민,53312,김건희,69737,노시환,1,1,2,1.22609,0.7083,1.8316079267055456,3.364,1.631,R,,
46,1,1,260329_141358,3,3구 스트라이크,T,슬라이더,124,64350,하영민,53312,김건희,69737,노시환,1,2,2,0.080754,0.7083,2.489230455854302,3.364,1.631,R,,
47,1,1,260329_141419,4,4구 볼,B,포크,135,64350,하영민,53312,김건희,69737,노시환,2,2,2,0.42197,0.7083,0.9136692665565778,3.364,1.631,R,,
49,1,1,260329_141500,5,5구 헛스윙,S,슬라이더,128,64350,하영민,53312,김건희,69737,노시환,2,3,2,1.01696,0.7083,0.6479533962727908,3.364,1.631,R,노시환 : 포수 스트라이크 낫 아웃 (포수 태그아웃),13
53,2,0,260329_141704,1,1구 볼,B,투심,146,56719,왕옌청,78288,최재훈,52348,박찬혁,1,0,0,0.9185,0.7083,2.201941516749137,3.267,1.584,R,,
54,2,0,260329_141721,2,2구 스트라이크,T,투심,145,56719,왕옌청,78288,최재훈,52348,박찬혁,1,1,0,0.283698,0.7083,2.260208636999327,3.267,1.584,R,,
55,2,0,260329_141736,3,3구 스트라이크,T,커브,121,56719,왕옌청,78288,최재훈,52348,박찬혁,1,2,0,0.451345,0.7083,2.492388247634703,3.267,1.584,R,,
56,2,0,260329_141752,4,4구 타격,H,직구,146,56719,왕옌청,78288,최재훈,52348,박찬혁,1,2,0,-0.501961,0.7083,2.3626769256904074,3.267,1.584,R,박찬혁 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
59,2,0,260329_141823,1,1구 스트라이크,T,직구,147,56719,왕옌청,78288,최재훈,53312,김건희,0,1,1,0.669812,0.7083,3.3933587400192278,3.393,1.646,R,,
