seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,260331_183034,1,1구 파울,F,직구,151,56724,화이트,78288,최재훈,66606,최원준,0,1,0,0.717904,0.7083,2.8622250255420676,3.29,1.596,L,,
3,1,0,260331_183054,2,2구 볼,B,직구,152,56724,화이트,78288,최재훈,66606,최원준,1,1,0,-1.13749,0.7083,3.9141714706862833,3.29,1.596,L,,
4,1,0,260331_183108,3,3구 스트라이크,T,커브,125,56724,화이트,78288,최재훈,66606,최원준,1,2,0,-0.568058,0.7083,2.3086807846526964,3.29,1.596,L,,
5,1,0,260331_183124,4,4구 타격,H,직구,150,56724,화이트,78288,최재훈,66606,최원준,1,2,0,-0.265756,0.7083,2.9289321197029965,3.29,1.596,L,최원준 : 우중간 2루타,13
8,1,0,260331_183217,1,1구 헛스윙,S,포크,139,56724,화이트,78288,최재훈,76290,김현수,0,1,0,-0.762748,0.7083,1.6502721779067602,3.483,1.689,L,,
9,1,0,260331_183239,2,2구 타격,H,직구,151,56724,화이트,78288,최재훈,76290,김현수,0,1,0,-0.818025,0.7083,3.380393476824123,3.483,1.689,L,김현수 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
13,1,0,260331_183315,1,1구 볼,B,커브,128,56724,화이트,78288,최재훈,52001,안현민,1,0,1,0.876895,0.7083,0.4166033374867819,3.338,1.619,R,,
15,1,0,260331_183348,2,2구 헛스윙,S,직구,152,56724,화이트,78288,최재훈,52001,안현민,1,1,1,-0.297351,0.7083,3.267629355425295,3.338,1.619,R,,
16,1,0,260331_183403,3,3구 스트라이크,T,직구,154,56724,화이트,78288,최재훈,52001,안현민,1,2,1,0.229504,0.7083,3.161812616796457,3.338,1.619,R,,
17,1,0,260331_183417,4,4구 파울,F,스위퍼,134,56724,화이트,78288,최재훈,52001,안현민,1,2,1,-0.336286,0.7083,2.520860617336073,3.338,1.619,R,,
18,1,0,260331_183437,5,5구 파울,F,스위퍼,133,56724,화이트,78288,최재훈,52001,안현민,1,2,1,0.148748,0.7083,2.7203173450922122,3.338,1.619,R,,
19,1,0,260331_183522,6,6구 볼,B,직구,154,56724,화이트,78288,최재훈,52001,안현민,2,2,1,1.46401,0.7083,2.3722402690279742,3.338,1.619,R,,
20,1,0,260331_183539,7,7구 타격,H,직구,151,56724,화이트,78288,최재훈,52001,안현민,2,2,1,-0.48126,0.7083,2.276981059470408,3.338,1.619,R,안현민 : 우익수 앞 1루타,13
24,1,0,260331_183636,1,1구 헛스윙,S,직구,149,56724,화이트,78288,최재훈,56034,힐리어드,0,1,1,-0.761048,0.7083,3.648082541169038,3.548,1.721,L,,
25,1,0,260331_183659,2,2구 타격,H,직구,150,56724,화이트,78288,최재훈,56034,힐리어드,0,1,1,0.848754,0.7083,2.2160459524254836,3.548,1.721,L,힐리어드 : 우익수 플라이 아웃,13
28,1,0,260331_183753,1,1구 스트라이크,T,직구,151,56724,화이트,78288,최재훈,78548,장성우,0,1,2,0.344719,0.7083,2.9171775180299573,3.455,1.676,R,,
29,1,0,260331_183814,2,2구 파울,F,직구,151,56724,화이트,78288,최재훈,78548,장성우,0,2,2,-0.260148,0.7083,3.5413654679085065,3.455,1.676,R,,
31,1,0,260331_183909,3,3구 파울,F,직구,152,56724,화이트,78288,최재훈,78548,장성우,0,2,2,0.876044,0.7083,3.4018221225664402,3.455,1.676,R,,
32,1,0,260331_183937,4,4구 타격,H,스위퍼,135,56724,화이트,78288,최재훈,78548,장성우,0,2,2,0.941264,0.7083,2.046233615960076,3.455,1.676,R,장성우 : 중견수 앞 1루타,13
36,1,0,260331_184031,1,1구 스트라이크,T,스위퍼,132,56724,화이트,78288,최재훈,79402,김상수,0,1,2,0.543629,0.7083,2.0756271060209,3.234,1.568,R,,
