seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,260403_183143,1,1구 볼,B,직구,145,50234,플렉센,76232,양의지,56754,오재원,1,0,0,-0.969104,0.7083,2.1359423703538294,3.248,1.576,L,,
3,1,0,260403_183200,2,2구 파울,F,직구,146,50234,플렉센,76232,양의지,56754,오재원,1,1,0,-0.249521,0.7083,3.2619691466081147,3.248,1.576,L,,
4,1,0,260403_183224,3,3구 파울,F,직구,147,50234,플렉센,76232,양의지,56754,오재원,1,2,0,-0.351394,0.7083,2.735664928295207,3.248,1.576,L,,
5,1,0,260403_183251,4,4구 볼,B,직구,148,50234,플렉센,76232,양의지,56754,오재원,2,2,0,-0.931524,0.7083,3.7597765889059858,3.248,1.576,L,,
6,1,0,260403_183313,5,5구 파울,F,커브,117,50234,플렉센,76232,양의지,56754,오재원,2,2,0,0.578489,0.7083,1.3267271195475665,3.248,1.576,L,,
7,1,0,260403_183343,6,6구 볼,B,직구,147,50234,플렉센,76232,양의지,56754,오재원,3,2,0,-1.51885,0.7083,2.046281830892431,3.248,1.576,L,,
8,1,0,260403_183407,7,7구 타격,H,직구,146,50234,플렉센,76232,양의지,56754,오재원,3,2,0,-0.507076,0.7083,3.469175954052546,3.248,1.576,L,오재원 : 좌익수 플라이 아웃,13
11,1,0,260403_183443,1,1구 스트라이크,T,커브,113,50234,플렉센,76232,양의지,54730,페라자,0,1,1,-0.627257,0.7083,2.584570413924842,3.25,1.576,L,,
12,1,0,260403_183501,2,2구 타격,H,직구,146,50234,플렉센,76232,양의지,54730,페라자,0,1,1,0.546361,0.7083,2.3096585988678293,3.25,1.576,L,페라자 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
15,1,0,260403_183542,1,1구 스트라이크,T,직구,146,50234,플렉센,76232,양의지,53764,문현빈,0,1,2,0.282648,0.7083,1.8796964918884886,3.17,1.537,L,,
16,1,0,260403_183559,2,2구 볼,B,커브,113,50234,플렉센,76232,양의지,53764,문현빈,1,1,2,1.75448,0.7083,2.7318376834688234,3.17,1.537,L,문현빈 : 몸에 맞는 볼,13
