seqno,inning,half,pitch_id,pitch_num,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance
2,1,0,260405_140019,1,T,직구,141,55239,잭로그,56754,오재원,0,1,0,-0.078435,0.7083,1.972022966185654,3.248,1.576,L
3,1,0,260405_140032,2,H,직구,144,55239,잭로그,56754,오재원,0,1,0,0.244412,0.7083,2.336485836355472,3.248,1.576,L
6,1,0,260405_140108,1,H,직구,146,55239,잭로그,54730,페라자,0,0,1,0.231423,0.7083,2.627120014714942,3.25,1.576,R
9,1,0,260405_140155,1,S,커터,138,55239,잭로그,66704,김태연,0,1,1,-0.71659,0.7083,2.720365065933288,3.232,1.568,R
10,1,0,260405_140215,2,T,커터,139,55239,잭로그,66704,김태연,0,2,1,-0.007221,0.7083,2.237335730146026,3.232,1.568,R
11,1,0,260405_140238,3,H,직구,144,55239,잭로그,66704,김태연,0,2,1,-0.216388,0.7083,3.248742253353492,3.232,1.568,R
15,1,0,260405_140339,1,T,직구,145,55239,잭로그,69737,노시환,0,1,2,-0.423165,0.7083,2.8861899736890524,3.364,1.631,R
17,1,0,260405_140422,2,T,스위퍼,126,55239,잭로그,69737,노시환,0,2,2,0.144542,0.7083,2.156699273626944,3.364,1.631,R
19,1,0,260405_140502,3,B,직구,146,55239,잭로그,69737,노시환,1,2,2,1.41925,0.7083,3.304367129929212,3.364,1.631,R
20,1,0,260405_140526,4,H,직구,145,55239,잭로그,69737,노시환,1,2,2,0.05194,0.7083,3.1976279973302826,3.364,1.631,R
24,1,1,260405_140742,1,S,직구,145,54729,황준서,55252,박준순,0,1,0,-0.799885,0.7083,1.3447234612412178,3.27,1.586,R
25,1,1,260405_140758,2,S,직구,147,54729,황준서,55252,박준순,0,2,0,0.099111,0.7083,3.22348394165807,3.27,1.586,R
26,1,1,260405_140816,3,F,직구,148,54729,황준서,55252,박준순,0,2,0,-0.037601,0.7083,3.986023833958086,3.27,1.586,R
27,1,1,260405_140835,4,F,포크,132,54729,황준서,55252,박준순,0,2,0,-0.086465,0.7083,3.669612334311731,3.27,1.586,R
28,1,1,260405_140857,5,H,직구,147,54729,황준서,55252,박준순,0,2,0,-0.214757,0.7083,4.145260315660159,3.27,1.586,R
31,1,1,260405_140940,1,B,직구,144,54729,황준서,79231,정수빈,1,0,0,-0.484116,0.7083,3.6025661895545973,3.221,1.562,L
33,1,1,260405_141021,2,F,직구,143,54729,황준서,79231,정수빈,1,1,0,0.338852,0.7083,1.7273862001796418,3.221,1.562,L
35,1,1,260405_141111,3,B,커브,109,54729,황준서,79231,정수빈,2,1,0,-0.757815,0.7083,5.653903189170455,3.221,1.562,L
36,1,1,260405_141140,4,H,직구,142,54729,황준서,79231,정수빈,2,1,0,-0.443187,0.7083,2.797662499047469,3.221,1.562,L
40,1,1,260405_141231,1,B,커브,110,54729,황준서,76232,양의지,1,0,0,0.156589,0.7083,4.032912212137066,3.311,1.606,R
41,1,1,260405_141250,2,B,포크,127,54729,황준서,76232,양의지,2,0,0,0.917474,0.7083,2.2452680809284273,3.311,1.606,R
42,1,1,260405_141312,3,B,포크,126,54729,황준서,76232,양의지,3,0,0,0.648764,0.7083,4.364505095411728,3.311,1.606,R
43,1,1,260405_141333,4,T,직구,142,54729,황준서,76232,양의지,3,1,0,0.358613,0.7083,2.6589311876242747,3.311,1.606,R
44,1,1,260405_141352,5,T,직구,142,54729,황준서,76232,양의지,3,2,0,0.111573,0.7083,2.2071167121434154,3.311,1.606,R
46,1,1,260405_141429,6,F,직구,142,54729,황준서,76232,양의지,3,2,0,-0.796628,0.7083,1.5583380281584973,3.311,1.606,R
47,1,1,260405_141457,7,F,직구,142,54729,황준서,76232,양의지,3,2,0,-0.23905,0.7083,2.142799806524034,3.311,1.606,R
48,1,1,260405_141540,8,B,직구,145,54729,황준서,76232,양의지,4,2,0,-0.409809,0.7083,0.25834350493612157,3.311,1.606,R
54,1,1,260405_141644,1,T,포크,126,54729,황준서,56251,카메론,0,1,0,-0.583027,0.7083,3.429394010443754,3.378,1.639,R
55,1,1,260405_141702,2,T,커브,109,54729,황준서,56251,카메론,0,2,0,0.316019,0.7083,3.164121694094309,3.378,1.639,R
56,1,1,260405_141724,3,B,직구,145,54729,황준서,56251,카메론,1,2,0,-1.04863,0.7083,3.867246352710792,3.378,1.639,R
57,1,1,260405_141745,4,T,직구,146,54729,황준서,56251,카메론,1,3,0,-0.38603,0.7083,2.0001436568918973,3.378,1.639,R
60,1,1,260405_141821,1,T,슬라이더,127,54729,황준서,51203,안재석,0,1,1,0.16773,0.7083,1.947010583618071,3.422,1.66,L
