seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250411_183023,1,1구 타격,H,직구,141,76715,류현진,78288,최재훈,65357,송성문,0,0,0,-0.410338,0.7083,3.197834412001142,3.331,1.615,L,송성문 : 좌익수 플라이 아웃,13
5,1,0,250411_183057,1,1구 볼,B,직구,141,76715,류현진,78288,최재훈,52366,푸이그,1,0,1,-1.55034,0.7083,2.5526601453587254,3.444,1.67,R,,
6,1,0,250411_183110,2,2구 파울,F,직구,141,76715,류현진,78288,최재훈,52366,푸이그,1,1,1,-0.809652,0.7083,2.398160234726854,3.444,1.67,R,,
7,1,0,250411_183129,3,3구 볼,B,체인지업,128,76715,류현진,78288,최재훈,52366,푸이그,2,1,1,1.14371,0.7083,1.5225927813052569,3.444,1.67,R,,
8,1,0,250411_183143,4,4구 타격,H,체인지업,130,76715,류현진,78288,최재훈,52366,푸이그,2,1,1,0.710886,0.7083,2.7526589843071245,3.444,1.67,R,푸이그 : 우익수 플라이 아웃,13
11,1,0,250411_183216,1,1구 타격,H,커터,134,76715,류현진,78288,최재훈,50357,박주홍,0,0,2,-0.635973,0.7083,2.5777859877096043,3.433,1.665,L,박주홍 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
15,1,1,250411_183430,1,1구 타격,H,직구,147,54319,김윤하,53312,김건희,54795,황영묵,0,0,0,0.255545,0.7083,1.574411592015857,3.225,1.564,L,황영묵 : 중견수 오른쪽 앞 1루타,13
18,1,1,250411_183515,1,1구 파울,F,직구,148,54319,김윤하,53312,김건희,55734,플로리얼,0,1,0,-0.655259,0.7083,2.4465548968402766,3.422,1.66,L,,
19,1,1,250411_183544,2,2구 스트라이크,T,직구,144,54319,김윤하,53312,김건희,55734,플로리얼,0,2,0,-0.796382,0.7083,1.9691567242028594,3.422,1.66,L,,
20,1,1,250411_183608,3,3구 볼,B,커브,127,54319,김윤하,53312,김건희,55734,플로리얼,1,2,0,1.30473,0.7083,0.38284388546656345,3.422,1.66,L,,
21,1,1,250411_183644,4,4구 파울,F,직구,146,54319,김윤하,53312,김건희,55734,플로리얼,1,2,0,-0.680648,0.7083,2.592005535008827,3.422,1.66,L,,
22,1,1,250411_183712,5,5구 볼,B,포크,135,54319,김윤하,53312,김건희,55734,플로리얼,2,2,0,-1.98398,0.7083,0.6525351778928186,3.422,1.66,L,,
24,1,1,250411_183748,6,6구 볼,B,직구,147,54319,김윤하,53312,김건희,55734,플로리얼,3,2,0,-1.04127,0.7083,3.7321889112910664,3.422,1.66,L,,
