seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250418_183018,1,1구 스트라이크,T,체인지업,133,65056,엄상백,78288,최재훈,62907,박민우,0,1,0,0.199923,0.7083,2.9017444103531544,3.364,1.631,L,,
3,1,0,250418_183038,2,2구 타격,H,체인지업,132,65056,엄상백,78288,최재훈,62907,박민우,0,1,0,0.024653,0.7083,1.6656484760914805,3.364,1.631,L,박민우 : 좌익수 플라이 아웃,13
6,1,0,250418_183110,1,1구 볼,B,체인지업,132,65056,엄상백,78288,최재훈,51907,김주원,1,0,1,-1.23725,0.7083,2.881307355266673,3.408,1.653,L,,
7,1,0,250418_183124,2,2구 볼,B,체인지업,131,65056,엄상백,78288,최재훈,51907,김주원,2,0,1,-1.34127,0.7083,2.2140256663812794,3.408,1.653,L,,
8,1,0,250418_183140,3,3구 스트라이크,T,체인지업,129,65056,엄상백,78288,최재훈,51907,김주원,2,1,1,0.873318,0.7083,1.6692513589836366,3.408,1.653,L,,
9,1,0,250418_183157,4,4구 볼,B,직구,145,65056,엄상백,78288,최재훈,51907,김주원,3,1,1,1.42384,0.7083,2.7368490498041314,3.408,1.653,L,,
10,1,0,250418_183216,5,5구 타격,H,체인지업,131,65056,엄상백,78288,최재훈,51907,김주원,3,1,1,0.055547,0.7083,2.5192944207776033,3.408,1.653,L,김주원 : 우익수 플라이 아웃,13
13,1,0,250418_183245,1,1구 스트라이크,T,체인지업,134,65056,엄상백,78288,최재훈,77532,손아섭,0,1,2,0.873393,0.7083,2.2469609056005866,3.21,1.557,L,,
14,1,0,250418_183302,2,2구 볼,B,직구,147,65056,엄상백,78288,최재훈,77532,손아섭,1,1,2,1.66782,0.7083,2.29853435233471,3.21,1.557,L,,
15,1,0,250418_183321,3,3구 파울,F,체인지업,133,65056,엄상백,78288,최재훈,77532,손아섭,1,2,2,0.135526,0.7083,2.3687074927297536,3.21,1.557,L,,
16,1,0,250418_183352,4,4구 파울,F,직구,146,65056,엄상백,78288,최재훈,77532,손아섭,1,2,2,0.667564,0.7083,2.113619898634478,3.21,1.557,L,,
17,1,0,250418_183416,5,5구 타격,H,슬라이더,132,65056,엄상백,78288,최재훈,77532,손아섭,1,2,2,-0.302665,0.7083,2.9031966147292687,3.21,1.557,L,손아섭 : 좌익수 앞 1루타,13
20,1,0,250418_183455,1,1구 타격,H,체인지업,131,65056,엄상백,78288,최재훈,68904,오영수,0,0,2,-1.22199,0.7083,2.413929495919266,3.294,1.598,L,오영수 : 좌익수 왼쪽 1루타,13
24,1,0,250418_183551,1,1구 스트라이크,T,체인지업,133,65056,엄상백,78288,최재훈,63963,권희동,0,1,2,0.661057,0.7083,2.018484683584876,3.311,1.606,R,,
25,1,0,250418_183609,2,2구 볼,B,직구,147,65056,엄상백,78288,최재훈,63963,권희동,1,1,2,0.245061,0.7083,3.678214675468388,3.311,1.606,R,,
26,1,0,250418_183629,3,3구 타격,H,체인지업,131,65056,엄상백,78288,최재훈,63963,권희동,1,1,2,0.457064,0.7083,2.299286905017456,3.311,1.606,R,권희동 : 유격수 앞 땅볼로 출루,13
31,1,1,250418_183848,1,1구 볼,B,직구,145,55912,로건,68912,김형준,50707,최인호,1,0,0,-0.211772,0.7083,4.2765769223013645,3.263,1.583,L,,
32,1,1,250418_183903,2,2구 볼,B,직구,147,55912,로건,68912,김형준,50707,최인호,2,0,0,-1.65419,0.7083,3.217765009022267,3.263,1.583,L,,
33,1,1,250418_183920,3,3구 스트라이크,T,투심,143,55912,로건,68912,김형준,50707,최인호,2,1,0,-0.864125,0.7083,2.1155218034718057,3.263,1.583,L,,
34,1,1,250418_183937,4,4구 볼,B,투심,142,55912,로건,68912,김형준,50707,최인호,3,1,0,-1.78326,0.7083,2.0656711397998677,3.263,1.583,L,,
35,1,1,250418_183956,5,5구 볼,B,직구,145,55912,로건,68912,김형준,50707,최인호,4,1,0,0.32601,0.7083,3.494427852986819,3.263,1.583,L,최인호 : 볼넷,13
39,1,1,250418_184047,1,1구 스트라이크,T,슬라이더,127,55912,로건,68912,김형준,55734,플로리얼,0,1,0,-0.042257,0.7083,2.796471395631709,3.422,1.66,L,,
40,1,1,250418_184109,2,2구 볼,B,슬라이더,128,55912,로건,68912,김형준,55734,플로리얼,1,1,0,-0.281905,0.7083,4.369815595752598,3.422,1.66,L,,
41,1,1,250418_184131,3,3구 파울,F,투심,141,55912,로건,68912,김형준,55734,플로리얼,1,2,0,-0.031421,0.7083,2.958277278932652,3.422,1.66,L,,
42,1,1,250418_184157,4,4구 헛스윙,S,슬라이더,128,55912,로건,68912,김형준,55734,플로리얼,1,3,0,-1.07829,0.7083,1.9919057603790553,3.422,1.66,L,플로리얼 : 삼진 아웃,13
45,1,1,250418_184225,1,1구 파울,F,슬라이더,127,55912,로건,68912,김형준,53764,문현빈,0,1,1,-0.406678,0.7083,1.2057468385281704,3.17,1.537,L,,
46,1,1,250418_184308,2,2구 스트라이크,T,슬라이더,128,55912,로건,68912,김형준,53764,문현빈,0,2,1,-0.627505,0.7083,3.2624365664075055,3.17,1.537,L,,
47,1,1,250418_184332,3,3구 볼,B,직구,147,55912,로건,68912,김형준,53764,문현빈,1,2,1,-1.17604,0.7083,4.59580105466679,3.17,1.537,L,,
48,1,1,250418_184352,4,4구 볼,B,슬라이더,126,55912,로건,68912,김형준,53764,문현빈,2,2,1,-2.06929,0.7083,2.0447283644211542,3.17,1.537,L,,
50,1,1,250418_184435,5,5구 타격,H,투심,143,55912,로건,68912,김형준,53764,문현빈,2,2,1,-0.355128,0.7083,3.411126896271454,3.17,1.537,L,문현빈 : 중견수 앞 1루타,13
54,1,1,250418_184522,1,1구 볼,B,커터,136,55912,로건,68912,김형준,69737,노시환,1,0,1,-0.686505,0.7083,3.779702590631904,3.349,1.624,R,,
55,1,1,250418_184540,2,2구 볼,B,체인지업,127,55912,로건,68912,김형준,69737,노시환,2,0,1,1.10577,0.7083,2.774341037968413,3.349,1.624,R,,
56,1,1,250418_184602,3,3구 파울,F,커터,135,55912,로건,68912,김형준,69737,노시환,2,1,1,-0.83565,0.7083,2.7756588724852773,3.349,1.624,R,,
57,1,1,250418_184627,4,4구 볼,B,커터,138,55912,로건,68912,김형준,69737,노시환,3,1,1,0.164008,0.7083,3.4813927793961468,3.349,1.624,R,,
58,1,1,250418_184651,5,5구 파울,F,슬라이더,126,55912,로건,68912,김형준,69737,노시환,3,2,1,0.196714,0.7083,2.1037126825117216,3.349,1.624,R,,
59,1,1,250418_184717,6,6구 볼,B,직구,146,55912,로건,68912,김형준,69737,노시환,4,2,1,-0.974944,0.7083,4.245736334393402,3.349,1.624,R,노시환 : 볼넷,13
64,1,1,250418_184802,1,1구 파울,F,커터,138,55912,로건,68912,김형준,79192,채은성,0,1,1,-0.155897,0.7083,2.4082930982929605,3.426,1.662,R,,
65,1,1,250418_184826,2,2구 파울,F,커터,138,55912,로건,68912,김형준,79192,채은성,0,2,1,-0.464964,0.7083,3.3676989786278417,3.426,1.662,R,,
66,1,1,250418_184855,3,3구 볼,B,직구,145,55912,로건,68912,김형준,79192,채은성,1,2,1,-1.29607,0.7083,3.5677855016149627,3.426,1.662,R,채은성 : 몸에 맞는 볼,23
73,1,1,250418_185022,1,1구 볼,B,투심,143,55912,로건,68912,김형준,66704,김태연,1,0,1,0.944691,0.7083,2.386447982816541,3.259,1.581,R,,
74,1,1,250418_185038,2,2구 파울,F,투심,141,55912,로건,68912,김형준,66704,김태연,1,1,1,0.33371,0.7083,2.7976041877964595,3.259,1.581,R,,
75,1,1,250418_185102,3,3구 파울,F,투심,142,55912,로건,68912,김형준,66704,김태연,1,2,1,0.867097,0.7083,3.4387709126634487,3.259,1.581,R,,
76,1,1,250418_185136,4,4구 볼,B,체인지업,129,55912,로건,68912,김형준,66704,김태연,2,2,1,1.33804,0.7083,2.9793320381134967,3.259,1.581,R,,
77,1,1,250418_185157,5,5구 타격,H,체인지업,127,55912,로건,68912,김형준,66704,김태연,2,2,1,0.687602,0.7083,3.1038500679537617,3.259,1.581,R,김태연 : 투수 왼쪽 땅볼로 출루,13
83,1,1,250418_185244,1,1구 볼,B,슬라이더,128,55912,로건,68912,김형준,65703,이도윤,1,0,2,-1.34587,0.7083,1.244231284411704,3.181,1.543,L,,
84,1,1,250418_185300,2,2구 헛스윙,S,슬라이더,126,55912,로건,68912,김형준,65703,이도윤,1,1,2,-0.571812,0.7083,2.9506035422135315,3.181,1.543,L,,
85,1,1,250418_185317,3,3구 타격,H,슬라이더,127,55912,로건,68912,김형준,65703,이도윤,1,1,2,-0.577303,0.7083,2.0883576031579394,3.181,1.543,L,이도윤 : 우익수 앞 1루타,23
91,1,1,250418_185421,1,1구 스트라이크,T,직구,145,55912,로건,68912,김형준,78288,최재훈,0,1,2,-0.523022,0.7083,2.7927450776937133,3.241,1.572,R,,
92,1,1,250418_185436,2,2구 볼,B,커터,138,55912,로건,68912,김형준,78288,최재훈,1,1,2,-0.980876,0.7083,3.4299104540264733,3.241,1.572,R,,
93,1,1,250418_185455,3,3구 타격,H,체인지업,128,55912,로건,68912,김형준,78288,최재훈,1,1,2,0.226237,0.7083,2.3432755321150074,3.241,1.572,R,최재훈 : 3루수 땅볼 실책으로 출루 (3루수 송구 실책->1루수),23
98,1,1,250418_185557,1,1구 볼,B,슬라이더,126,55912,로건,68912,김형준,62700,하주석,1,0,2,-1.0225,0.7083,1.4228494911573262,3.365,1.632,L,,
100,1,1,250418_185620,2,2구 타격,H,슬라이더,127,55912,로건,68912,김형준,62700,하주석,1,0,2,-0.84334,0.7083,2.473769048847734,3.365,1.632,L,하주석 : 우중간 2루타,23
105,1,1,250418_185714,1,1구 스트라이크,T,투심,144,55912,로건,68912,김형준,50707,최인호,0,1,2,-0.675733,0.7083,3.1089392304608587,3.263,1.583,L,,
106,1,1,250418_185730,2,2구 타격,H,투심,143,55912,로건,68912,김형준,50707,최인호,0,1,2,0.007893,0.7083,2.748306208386488,3.263,1.583,L,최인호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),13
110,2,0,250418_185939,1,1구 스트라이크,T,체인지업,130,65056,엄상백,78288,최재훈,51344,김휘집,0,1,0,0.452146,0.7083,2.52549310392325,3.316,1.608,R,,
111,2,0,250418_185952,2,2구 볼,B,체인지업,131,65056,엄상백,78288,최재훈,51344,김휘집,1,1,0,-0.13566,0.7083,3.6245250144507573,3.316,1.608,R,,
112,2,0,250418_190006,3,3구 파울,F,직구,143,65056,엄상백,78288,최재훈,51344,김휘집,1,2,0,-0.36045,0.7083,2.0654841358899017,3.316,1.608,R,,
113,2,0,250418_190030,4,4구 볼,B,직구,146,65056,엄상백,78288,최재훈,51344,김휘집,2,2,0,0.992835,0.7083,3.11193865560118,3.316,1.608,R,,
114,2,0,250418_190050,5,5구 볼,B,체인지업,133,65056,엄상백,78288,최재훈,51344,김휘집,3,2,0,0.042857,0.7083,3.5301809482858992,3.316,1.608,R,,
115,2,0,250418_190111,6,6구 파울,F,체인지업,132,65056,엄상백,78288,최재훈,51344,김휘집,3,2,0,-1.07032,0.7083,3.10873678256102,3.316,1.608,R,,
116,2,0,250418_190136,7,7구 스트라이크,T,체인지업,133,65056,엄상백,78288,최재훈,51344,김휘집,3,3,0,0.341757,0.7083,3.1558224924735363,3.316,1.608,R,김휘집 : 삼진 아웃,13
119,2,0,250418_190205,1,1구 스트라이크,T,체인지업,131,65056,엄상백,78288,최재훈,69995,서호철,0,1,1,0.501391,0.7083,2.2725001923291925,3.329,1.615,R,,
