seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250518_140020,1,1구 스트라이크,T,직구,137,76715,류현진,78288,최재훈,54812,정준재,0,1,0,-0.41487,0.7083,2.8062177537072674,3.069,1.489,L,,
3,1,0,250518_140033,2,2구 파울,F,커터,124,76715,류현진,78288,최재훈,54812,정준재,0,2,0,-0.318178,0.7083,1.8517207771625226,3.069,1.489,L,,
4,1,0,250518_140100,3,3구 볼,B,커터,121,76715,류현진,78288,최재훈,54812,정준재,1,2,0,-1.67251,0.7083,2.7467621051346964,3.069,1.489,L,,
5,1,0,250518_140115,4,4구 볼,B,직구,142,76715,류현진,78288,최재훈,54812,정준재,2,2,0,-1.19926,0.7083,3.2897786606749646,3.069,1.489,L,,
6,1,0,250518_140131,5,5구 스트라이크,T,커브,110,76715,류현진,78288,최재훈,54812,정준재,2,3,0,0.301601,0.7083,2.314556971867682,3.069,1.489,L,정준재 : 삼진 아웃,13
9,1,0,250518_140200,1,1구 스트라이크,T,투심,140,76715,류현진,78288,최재훈,67893,박성한,0,1,1,-0.507483,0.7083,1.9029234150748464,3.334,1.617,L,,
10,1,0,250518_140214,2,2구 볼,B,직구,142,76715,류현진,78288,최재훈,67893,박성한,1,1,1,-1.18795,0.7083,2.2987488381276293,3.334,1.617,L,,
11,1,0,250518_140228,3,3구 파울,F,커브,112,76715,류현진,78288,최재훈,67893,박성한,1,2,1,0.093521,0.7083,2.252882371532995,3.334,1.617,L,,
12,1,0,250518_140255,4,4구 볼,B,직구,145,76715,류현진,78288,최재훈,67893,박성한,2,2,1,-1.01621,0.7083,3.5010739823374677,3.334,1.617,L,,
13,1,0,250518_140311,5,5구 볼,B,커터,128,76715,류현진,78288,최재훈,67893,박성한,3,2,1,-1.60944,0.7083,2.6820698117082062,3.334,1.617,L,,
15,1,0,250518_140332,6,6구 파울,F,커터,128,76715,류현진,78288,최재훈,67893,박성한,3,2,1,-0.231894,0.7083,2.578923172422396,3.334,1.617,L,,
16,1,0,250518_140356,7,7구 파울,F,직구,143,76715,류현진,78288,최재훈,67893,박성한,3,2,1,0.72718,0.7083,3.7766522565071377,3.334,1.617,L,,
17,1,0,250518_140421,8,8구 볼,B,직구,146,76715,류현진,78288,최재훈,67893,박성한,4,2,1,-0.357149,0.7083,1.5159070108341355,3.334,1.617,L,박성한 : 볼넷,13
20,1,0,250518_140458,1,1구 볼,B,커터,131,76715,류현진,78288,최재훈,75847,최정,1,0,1,-1.43149,0.7083,2.1000398561541123,3.322,1.611,R,,
21,1,0,250518_140516,2,2구 볼,B,체인지업,129,76715,류현진,78288,최재훈,75847,최정,2,0,1,0.503977,0.7083,0.9387225340533489,3.322,1.611,R,,
22,1,0,250518_140533,3,3구 헛스윙,S,커터,135,76715,류현진,78288,최재훈,75847,최정,2,1,1,-0.929223,0.7083,1.4813802463917982,3.322,1.611,R,,
23,1,0,250518_140552,4,4구 파울,F,직구,146,76715,류현진,78288,최재훈,75847,최정,2,2,1,-0.304362,0.7083,2.6875371854984134,3.322,1.611,R,,
24,1,0,250518_140618,5,5구 파울,F,체인지업,130,76715,류현진,78288,최재훈,75847,최정,2,2,1,0.888765,0.7083,2.505007947184075,3.322,1.611,R,,
25,1,0,250518_140650,6,6구 볼,B,직구,146,76715,류현진,78288,최재훈,75847,최정,3,2,1,-1.33429,0.7083,1.4645551408414372,3.322,1.611,R,,
26,1,0,250518_140713,7,7구 볼,B,커터,138,76715,류현진,78288,최재훈,75847,최정,4,2,1,-1.30422,0.7083,1.1553681226225052,3.322,1.611,R,최정 : 볼넷,13
30,1,0,250518_140752,1,1구 스트라이크,T,직구,146,76715,류현진,78288,최재훈,62895,한유섬,0,1,1,0.384923,0.7083,3.002763667638434,3.508,1.702,L,,
31,1,0,250518_140811,2,2구 볼,B,체인지업,131,76715,류현진,78288,최재훈,62895,한유섬,1,1,1,0.656511,0.7083,1.3511591445363527,3.508,1.702,L,,
32,1,0,250518_140838,3,3구 타격,H,직구,145,76715,류현진,78288,최재훈,62895,한유섬,1,1,1,-0.135156,0.7083,3.0187998520693826,3.508,1.702,L,한유섬 : 좌익수 플라이 아웃,13
35,1,0,250518_140917,1,1구 볼,B,직구,142,76715,류현진,78288,최재훈,51868,고명준,1,0,2,-1.08817,0.7083,2.491195137436545,3.397,1.647,R,,
37,1,0,250518_140949,2,2구 파울,F,체인지업,129,76715,류현진,78288,최재훈,51868,고명준,1,1,2,0.827169,0.7083,2.3954644105512015,3.397,1.647,R,,
38,1,0,250518_141010,3,3구 파울,F,커터,139,76715,류현진,78288,최재훈,51868,고명준,1,2,2,0.126443,0.7083,3.908384152096787,3.397,1.647,R,,
41,1,0,250518_141054,4,4구 타격,H,커터,135,76715,류현진,78288,최재훈,51868,고명준,1,2,2,-0.533937,0.7083,2.4927193986844416,3.397,1.647,R,고명준 : 좌익수 앞 1루타,23
