seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250528_183156,1,1구 볼,B,직구,145,55138,코엔 윈,79365,박동원,55734,플로리얼,1,0,0,-0.101035,0.7083,3.813402547667595,3.422,1.66,L,,
3,1,0,250528_183211,2,2구 타격,H,직구,145,55138,코엔 윈,79365,박동원,55734,플로리얼,1,0,0,0.413058,0.7083,2.021257127595778,3.422,1.66,L,플로리얼 : 우중간 뒤 홈런 (홈런거리:120M),23
6,1,0,250528_183259,1,1구 타격,H,직구,145,55138,코엔 윈,79365,박동원,62700,하주석,0,0,0,-0.075352,0.7083,2.3947840908290754,3.365,1.632,L,하주석 : 우익수 플라이 아웃,13
9,1,0,250528_183334,1,1구 볼,B,직구,144,55138,코엔 윈,79365,박동원,53764,문현빈,1,0,1,-2.2293,0.7083,2.712036980488021,3.17,1.537,L,,
10,1,0,250528_183348,2,2구 스트라이크,T,포크,135,55138,코엔 윈,79365,박동원,53764,문현빈,1,1,1,0.075708,0.7083,2.1896718729806044,3.17,1.537,L,,
11,1,0,250528_183402,3,3구 타격,H,포크,136,55138,코엔 윈,79365,박동원,53764,문현빈,1,1,1,-0.35531,0.7083,2.498146634754915,3.17,1.537,L,문현빈 : 중견수 플라이 아웃,13
14,1,0,250528_183440,1,1구 볼,B,직구,144,55138,코엔 윈,79365,박동원,69737,노시환,1,0,2,0.181517,0.7083,1.4050742845892237,3.349,1.624,R,,
15,1,0,250528_183455,2,2구 볼,B,커브,127,55138,코엔 윈,79365,박동원,69737,노시환,2,0,2,1.75417,0.7083,0.24404042173020724,3.349,1.624,R,,
16,1,0,250528_183513,3,3구 파울,F,직구,145,55138,코엔 윈,79365,박동원,69737,노시환,2,1,2,-1.36286,0.7083,3.277451069326937,3.349,1.624,R,,
17,1,0,250528_183533,4,4구 타격,H,직구,144,55138,코엔 윈,79365,박동원,69737,노시환,2,1,2,0.427012,0.7083,2.3766722489370613,3.349,1.624,R,노시환 : 투수 땅볼 아웃 (투수->1루수 송구아웃),13
21,1,1,250528_183759,1,1구 스트라이크,T,직구,153,55730,폰세,78288,최재훈,68119,문성주,0,1,0,0.450141,0.7083,1.7154723433061085,3.186,1.545,L,,
22,1,1,250528_183811,2,2구 스트라이크,T,직구,155,55730,폰세,78288,최재훈,68119,문성주,0,2,0,0.864437,0.7083,3.163520835057782,3.186,1.545,L,,
23,1,1,250528_183823,3,3구 파울,F,슬라이더,147,55730,폰세,78288,최재훈,68119,문성주,0,2,0,0.184408,0.7083,1.7971979009129195,3.186,1.545,L,,
24,1,1,250528_183841,4,4구 볼,B,직구,155,55730,폰세,78288,최재훈,68119,문성주,1,2,0,1.56775,0.7083,2.8233195699452036,3.186,1.545,L,,
25,1,1,250528_183856,5,5구 헛스윙,S,커브,131,55730,폰세,78288,최재훈,68119,문성주,1,3,0,0.657739,0.7083,1.4514835792184453,3.186,1.545,L,문성주 : 삼진 아웃,13
28,1,1,250528_183922,1,1구 볼,B,커브,125,55730,폰세,78288,최재훈,76290,김현수,1,0,1,0.256373,0.7083,1.6674349850026493,3.503,1.699,L,,
29,1,1,250528_183935,2,2구 헛스윙,S,체인지업,141,55730,폰세,78288,최재훈,76290,김현수,1,1,1,-0.103469,0.7083,2.2141681642602293,3.503,1.699,L,,
30,1,1,250528_183956,3,3구 타격,H,직구,156,55730,폰세,78288,최재훈,76290,김현수,1,1,1,0.239104,0.7083,3.077367638153361,3.503,1.699,L,김현수 : 중견수 플라이 아웃,13
33,1,1,250528_184031,1,1구 스트라이크,T,커브,127,55730,폰세,78288,최재훈,53123,오스틴,0,1,2,-0.410415,0.7083,2.2266123322740006,3.371,1.635,R,,
34,1,1,250528_184042,2,2구 타격,H,직구,154,55730,폰세,78288,최재훈,53123,오스틴,0,1,2,-1.03889,0.7083,2.3152051297858334,3.371,1.635,R,오스틴 : 좌익수 플라이 아웃,13
38,2,0,250528_184252,1,1구 볼,B,커브,124,55138,코엔 윈,79365,박동원,79192,채은성,1,0,0,1.98441,0.7083,1.8848582445392479,3.426,1.662,R,,
