seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250601_170104,1,1구 볼,B,슬라이더,136,52992,이준혁,51903,김정호,55734,플로리얼,1,0,0,1.361,0.7083,1.6938536764616274,3.422,1.66,L,,
3,1,0,250601_170121,2,2구 스트라이크,T,슬라이더,134,52992,이준혁,51903,김정호,55734,플로리얼,1,1,0,-0.391874,0.7083,2.539488412364059,3.422,1.66,L,,
4,1,0,250601_170139,3,3구 볼,B,직구,144,52992,이준혁,51903,김정호,55734,플로리얼,2,1,0,1.18087,0.7083,2.0879581962427265,3.422,1.66,L,,
5,1,0,250601_170156,4,4구 파울,F,슬라이더,136,52992,이준혁,51903,김정호,55734,플로리얼,2,2,0,0.213437,0.7083,2.0043298766603104,3.422,1.66,L,,
6,1,0,250601_170222,5,5구 볼,B,직구,149,52992,이준혁,51903,김정호,55734,플로리얼,3,2,0,0.699054,0.7083,4.197144922258897,3.422,1.66,L,,
7,1,0,250601_170243,6,6구 타격,H,슬라이더,136,52992,이준혁,51903,김정호,55734,플로리얼,3,2,0,-0.163514,0.7083,2.414666750399835,3.422,1.66,L,플로리얼 : 우익수 왼쪽 1루타,13
10,1,0,250601_170329,1,1구 볼,B,직구,146,52992,이준혁,51903,김정호,62700,하주석,1,0,0,-1.21161,0.7083,3.3325382145787152,3.365,1.632,L,,
11,1,0,250601_170351,2,2구 번트헛스윙,V,슬라이더,135,52992,이준혁,51903,김정호,62700,하주석,1,1,0,0.414283,0.7083,2.320961837902234,3.365,1.632,L,,
13,1,0,250601_170431,3,3구 스트라이크,T,슬라이더,134,52992,이준혁,51903,김정호,62700,하주석,1,2,0,-0.61199,0.7083,2.3867695199596874,3.365,1.632,L,,
15,1,0,250601_170513,4,4구 볼,B,체인지업,135,52992,이준혁,51903,김정호,62700,하주석,2,2,0,-2.76062,0.7083,3.166078387704664,3.365,1.632,L,,
16,1,0,250601_170534,5,5구 볼,B,커브,123,52992,이준혁,51903,김정호,62700,하주석,3,2,0,-1.83306,0.7083,3.8273828365885763,3.365,1.632,L,,
17,1,0,250601_170555,6,6구 헛스윙,S,슬라이더,137,52992,이준혁,51903,김정호,62700,하주석,3,3,0,1.49745,0.7083,1.187085971051499,3.365,1.632,L,하주석 : 포수 스트라이크 낫 아웃 (포수 태그아웃),13
20,1,0,250601_170631,1,1구 스트라이크,T,커브,123,52992,이준혁,51903,김정호,53764,문현빈,0,1,1,-0.283546,0.7083,1.9237698095007847,3.17,1.537,L,,
21,1,0,250601_170653,2,2구 번트파울,W,직구,150,52992,이준혁,51903,김정호,53764,문현빈,0,2,1,-0.077373,0.7083,3.2862284893439533,3.17,1.537,L,,
22,1,0,250601_170724,3,3구 볼,B,슬라이더,136,52992,이준혁,51903,김정호,53764,문현빈,1,2,1,2.17829,0.7083,-0.16600320578837024,3.17,1.537,L,,
24,1,0,250601_170803,4,4구 타격,H,직구,149,52992,이준혁,51903,김정호,53764,문현빈,1,2,1,0.0185,0.7083,1.9168397814955278,3.17,1.537,L,문현빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),23
28,1,0,250601_170847,1,1구 스트라이크,T,슬라이더,137,52992,이준혁,51903,김정호,69737,노시환,0,1,2,0.789975,0.7083,1.8257207753431275,3.349,1.624,R,,
29,1,0,250601_170904,2,2구 볼,B,커브,129,52992,이준혁,51903,김정호,69737,노시환,1,1,2,-1.34457,0.7083,3.3011103945254328,3.349,1.624,R,,
30,1,0,250601_170923,3,3구 볼,B,직구,148,52992,이준혁,51903,김정호,69737,노시환,2,1,2,-2.12217,0.7083,3.4691449156247236,3.349,1.624,R,노시환 : 몸에 맞는 볼,13
33,1,0,250601_171012,1,1구 볼,B,직구,147,52992,이준혁,51903,김정호,79192,채은성,1,0,2,1.00533,0.7083,2.5052132514253973,3.426,1.662,R,,
34,1,0,250601_171033,2,2구 타격,H,직구,147,52992,이준혁,51903,김정호,79192,채은성,1,0,2,-0.279333,0.7083,2.3044827863349395,3.426,1.662,R,채은성 : 좌익수 뒤 홈런 (홈런거리:110M),23
38,1,0,250601_171125,1,1구 스트라이크,T,슬라이더,136,52992,이준혁,51903,김정호,66657,이진영,0,1,2,0.203109,0.7083,2.316634177914082,3.373,1.636,R,,
39,1,0,250601_171140,2,2구 파울,F,슬라이더,138,52992,이준혁,51903,김정호,66657,이진영,0,2,2,0.040446,0.7083,2.3077039439045715,3.373,1.636,R,,
40,1,0,250601_171201,3,3구 볼,B,직구,149,52992,이준혁,51903,김정호,66657,이진영,1,2,2,1.09301,0.7083,3.346672013220927,3.373,1.636,R,,
41,1,0,250601_171219,4,4구 타격,H,커브,128,52992,이준혁,51903,김정호,66657,이진영,1,2,2,0.836306,0.7083,1.9464419721470714,3.373,1.636,R,이진영 : 중견수 앞 1루타,13
45,1,0,250601_171338,1,1구 스트라이크,T,슬라이더,132,52992,이준혁,51903,김정호,79608,안치홍,0,1,2,-0.255115,0.7083,2.1049951430508247,3.254,1.578,R,,
46,1,0,250601_171356,2,2구 타격,H,슬라이더,134,52992,이준혁,51903,김정호,79608,안치홍,0,1,2,-0.013056,0.7083,1.8387518596882044,3.254,1.578,R,안치홍 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),13
50,1,1,250601_171613,1,1구 볼,B,직구,141,54729,황준서,76812,이재원,62907,박민우,1,0,0,1.11666,0.7083,1.304858797742312,3.364,1.631,L,,
51,1,1,250601_171627,2,2구 타격,H,직구,141,54729,황준서,76812,이재원,62907,박민우,1,0,0,0.09597,0.7083,1.9380114810218683,3.364,1.631,L,박민우 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),13
54,1,1,250601_171702,1,1구 스트라이크,T,직구,143,54729,황준서,76812,이재원,51907,김주원,0,1,1,-0.2413,0.7083,1.7749419627054994,3.408,1.653,R,,
55,1,1,250601_171716,2,2구 스트라이크,T,직구,146,54729,황준서,76812,이재원,51907,김주원,0,2,1,0.574633,0.7083,2.077293813276011,3.408,1.653,R,,
56,1,1,250601_171733,3,3구 파울,F,포크,131,54729,황준서,76812,이재원,51907,김주원,0,2,1,0.614261,0.7083,0.9362361151147955,3.408,1.653,R,,
57,1,1,250601_171758,4,4구 파울,F,직구,146,54729,황준서,76812,이재원,51907,김주원,0,2,1,0.641974,0.7083,3.20734332490954,3.408,1.653,R,,
58,1,1,250601_171817,5,5구 헛스윙,S,포크,133,54729,황준서,76812,이재원,51907,김주원,0,3,1,-0.219948,0.7083,1.0712219065046646,3.408,1.653,R,김주원 : 삼진 아웃,13
61,1,1,250601_171847,1,1구 볼,B,직구,145,54729,황준서,76812,이재원,79215,박건우,1,0,2,0.217221,0.7083,1.4221100095853036,3.338,1.619,R,,
62,1,1,250601_171900,2,2구 스트라이크,T,직구,144,54729,황준서,76812,이재원,79215,박건우,1,1,2,0.289322,0.7083,1.897600189266254,3.338,1.619,R,,
63,1,1,250601_171913,3,3구 스트라이크,T,직구,146,54729,황준서,76812,이재원,79215,박건우,1,2,2,0.232709,0.7083,1.6529836106331617,3.338,1.619,R,,
64,1,1,250601_171932,4,4구 볼,B,직구,147,54729,황준서,76812,이재원,79215,박건우,2,2,2,-0.24856,0.7083,1.4009917524455884,3.338,1.619,R,,
65,1,1,250601_171951,5,5구 볼,B,포크,128,54729,황준서,76812,이재원,79215,박건우,3,2,2,-0.782306,0.7083,-0.6009371457747474,3.338,1.619,R,,
66,1,1,250601_172015,6,6구 볼,B,직구,144,54729,황준서,76812,이재원,79215,박건우,4,2,2,0.313869,0.7083,3.9775476683038518,3.338,1.619,R,박건우 : 볼넷,13
69,1,1,250601_172051,1,1구 스트라이크,T,포크,125,54729,황준서,76812,이재원,54944,데이비슨,0,1,2,-0.423914,0.7083,1.7919847117080598,3.503,1.699,R,,
70,1,1,250601_172110,2,2구 볼,B,포크,126,54729,황준서,76812,이재원,54944,데이비슨,1,1,2,-1.10184,0.7083,0.9113500347471071,3.503,1.699,R,,
71,1,1,250601_172128,3,3구 볼,B,포크,126,54729,황준서,76812,이재원,54944,데이비슨,2,1,2,-1.12229,0.7083,1.6843346550958866,3.503,1.699,R,,
72,1,1,250601_172148,4,4구 스트라이크,T,직구,142,54729,황준서,76812,이재원,54944,데이비슨,2,2,2,-0.472763,0.7083,2.44252228309053,3.503,1.699,R,,
73,1,1,250601_172212,5,5구 볼,B,포크,127,54729,황준서,76812,이재원,54944,데이비슨,3,2,2,-1.53439,0.7083,0.8703522561979931,3.503,1.699,R,,
74,1,1,250601_172235,6,6구 파울,F,직구,140,54729,황준서,76812,이재원,54944,데이비슨,3,2,2,0.576517,0.7083,2.5327217974936755,3.503,1.699,R,,
75,1,1,250601_172306,7,7구 파울,F,포크,127,54729,황준서,76812,이재원,54944,데이비슨,3,2,2,-1.04952,0.7083,2.849711144871792,3.503,1.699,R,,
76,1,1,250601_172341,8,8구 볼,B,직구,141,54729,황준서,76812,이재원,54944,데이비슨,4,2,2,-0.337181,0.7083,5.181509462768929,3.503,1.699,R,데이비슨 : 볼넷,13
81,1,1,250601_172452,1,1구 볼,B,직구,141,54729,황준서,76812,이재원,63963,권희동,1,0,2,1.03484,0.7083,2.742064618732317,3.311,1.606,R,,
82,1,1,250601_172508,2,2구 스트라이크,T,직구,140,54729,황준서,76812,이재원,63963,권희동,1,1,2,-0.548836,0.7083,2.2429036739897867,3.311,1.606,R,,
83,1,1,250601_172528,3,3구 스트라이크,T,직구,142,54729,황준서,76812,이재원,63963,권희동,1,2,2,0.374696,0.7083,2.0702962399430698,3.311,1.606,R,,
84,1,1,250601_172605,4,4구 스트라이크,T,직구,144,54729,황준서,76812,이재원,63963,권희동,1,3,2,-0.146413,0.7083,1.569562976845728,3.311,1.606,R,권희동 : 삼진 아웃,13
88,2,0,250601_172809,1,1구 스트라이크,T,직구,145,52992,이준혁,51903,김정호,76812,이재원,0,1,0,0.050042,0.7083,2.777661879413128,3.387,1.643,R,,
89,2,0,250601_172824,2,2구 볼,B,슬라이더,135,52992,이준혁,51903,김정호,76812,이재원,1,1,0,1.60333,0.7083,0.7016675455219419,3.387,1.643,R,,
