seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250627_183001,1,1구 타격,H,직구,145,62869,문승원,79456,이지영,66657,이진영,0,0,0,0.379109,0.7083,2.627454021002262,3.373,1.636,R,이진영 : 중견수 왼쪽 1루타,13
5,1,0,250627_183049,1,1구 타격,H,체인지업,122,62869,문승원,79456,이지영,55703,리베라토,0,0,0,-0.310603,0.7083,2.1646224278560555,3.417,1.657,L,리베라토 : 우중간 1루타,13
9,1,0,250627_183154,1,1구 스트라이크,T,커브,115,62869,문승원,79456,이지영,53764,문현빈,0,1,0,0.351491,0.7083,3.0738498076578527,3.17,1.537,L,,
10,1,0,250627_183228,2,2구 볼,B,직구,144,62869,문승원,79456,이지영,53764,문현빈,1,1,0,0.866,0.7083,3.4914638337497372,3.17,1.537,L,,
11,1,0,250627_183248,3,3구 볼,B,체인지업,128,62869,문승원,79456,이지영,53764,문현빈,2,1,0,0.02143,0.7083,1.1615935601789107,3.17,1.537,L,,
12,1,0,250627_183311,4,4구 파울,F,직구,145,62869,문승원,79456,이지영,53764,문현빈,2,2,0,-0.510574,0.7083,2.1698030369748187,3.17,1.537,L,,
14,1,0,250627_183407,5,5구 타격,H,직구,146,62869,문승원,79456,이지영,53764,문현빈,2,2,0,0.249105,0.7083,2.5463887865535026,3.17,1.537,L,문현빈 : 유격수 플라이 아웃,13
17,1,0,250627_183502,1,1구 볼,B,슬라이더,139,62869,문승원,79456,이지영,69737,노시환,1,0,1,1.28094,0.7083,1.5653192532105196,3.349,1.624,R,,
18,1,0,250627_183523,2,2구 볼,B,직구,147,62869,문승원,79456,이지영,69737,노시환,2,0,1,-0.500895,0.7083,1.4174878916543354,3.349,1.624,R,,
19,1,0,250627_183548,3,3구 헛스윙,S,슬라이더,139,62869,문승원,79456,이지영,69737,노시환,2,1,1,0.482461,0.7083,1.278769529797676,3.349,1.624,R,,
20,1,0,250627_183613,4,4구 타격,H,직구,147,62869,문승원,79456,이지영,69737,노시환,2,1,1,-0.173376,0.7083,1.929846752822551,3.349,1.624,R,노시환 : 좌중간 뒤 홈런 (홈런거리:125M),23
25,1,0,250627_183707,1,1구 스트라이크,T,커브,112,62869,문승원,79456,이지영,50707,최인호,0,1,1,-0.656142,0.7083,2.737579034774286,3.263,1.583,L,,
26,1,0,250627_183717,2,2구 볼,B,커브,113,62869,문승원,79456,이지영,50707,최인호,1,1,1,-1.11472,0.7083,3.4011867274874126,3.263,1.583,L,,
27,1,0,250627_183728,3,3구 타격,H,직구,144,62869,문승원,79456,이지영,50707,최인호,1,1,1,-1.02274,0.7083,3.2205828902629703,3.263,1.583,L,최인호 : 좌중간 1루타,13
