seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250705_180016,1,1구 스트라이크,T,직구,143,55348,웰스,53312,김건희,68700,이원석,0,1,0,-0.788819,0.7083,2.122550469451833,3.254,1.578,R,,
3,1,0,250705_180030,2,2구 파울,F,커브,122,55348,웰스,53312,김건희,68700,이원석,0,2,0,0.272527,0.7083,2.264727425490859,3.254,1.578,R,,
4,1,0,250705_180047,3,3구 볼,B,체인지업,131,55348,웰스,53312,김건희,68700,이원석,1,2,0,2.30114,0.7083,4.226720335491386,3.254,1.578,R,,
5,1,0,250705_180103,4,4구 타격,H,직구,143,55348,웰스,53312,김건희,68700,이원석,1,2,0,-0.152872,0.7083,2.811276092217778,3.254,1.578,R,이원석 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),13
8,1,0,250705_180140,1,1구 타격,H,직구,144,55348,웰스,53312,김건희,55703,리베라토,0,0,1,0.469674,0.7083,2.728844657486866,3.417,1.657,L,리베라토 : 중견수 플라이 아웃,13
11,1,0,250705_180219,1,1구 스트라이크,T,슬라이더,135,55348,웰스,53312,김건희,53764,문현빈,0,1,2,0.429965,0.7083,1.8877810645859319,3.17,1.537,L,,
12,1,0,250705_180234,2,2구 헛스윙,S,슬라이더,136,55348,웰스,53312,김건희,53764,문현빈,0,2,2,-0.061495,0.7083,1.6484131263984352,3.17,1.537,L,,
13,1,0,250705_180253,3,3구 볼,B,직구,147,55348,웰스,53312,김건희,53764,문현빈,1,2,2,-0.761676,0.7083,1.3906364860698504,3.17,1.537,L,,
14,1,0,250705_180314,4,4구 볼,B,직구,145,55348,웰스,53312,김건희,53764,문현빈,2,2,2,-1.38363,0.7083,3.2951947078190242,3.17,1.537,L,,
15,1,0,250705_180332,5,5구 헛스윙,S,슬라이더,135,55348,웰스,53312,김건희,53764,문현빈,2,3,2,0.035176,0.7083,3.026966409700384,3.17,1.537,L,문현빈 : 삼진 아웃,13
19,1,1,250705_180546,1,1구 볼,B,직구,139,76715,류현진,78288,최재훈,65357,송성문,1,0,0,-1.35719,0.7083,2.1979391501861505,3.331,1.615,L,,
