seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250708_183031,1,1구 볼,B,직구,147,52701,문동주,78288,최재훈,61353,고종욱,1,0,0,-1.69189,0.7083,3.191349142578492,3.446,1.671,L,,
3,1,0,250708_183046,2,2구 스트라이크,T,직구,150,52701,문동주,78288,최재훈,61353,고종욱,1,1,0,0.699227,0.7083,2.198176690131883,3.446,1.671,L,,
4,1,0,250708_183104,3,3구 파울,F,커브,125,52701,문동주,78288,최재훈,61353,고종욱,1,2,0,0.543071,0.7083,2.1805263226144977,3.446,1.671,L,,
5,1,0,250708_183127,4,4구 파울,F,직구,154,52701,문동주,78288,최재훈,61353,고종욱,1,2,0,-0.750039,0.7083,3.7301120204024696,3.446,1.671,L,,
6,1,0,250708_183145,5,5구 스트라이크,T,포크,138,52701,문동주,78288,최재훈,61353,고종욱,1,3,0,-0.876924,0.7083,3.230397764189098,3.446,1.671,L,고종욱 : 삼진 아웃,13
9,1,0,250708_183217,1,1구 볼,B,커브,125,52701,문동주,78288,최재훈,64646,박찬호,1,0,1,0.050939,0.7083,0.5436723090817148,3.243,1.573,R,,
10,1,0,250708_183233,2,2구 스트라이크,T,슬라이더,136,52701,문동주,78288,최재훈,64646,박찬호,1,1,1,-0.596632,0.7083,1.6924112496043104,3.243,1.573,R,,
11,1,0,250708_183247,3,3구 타격,H,직구,153,52701,문동주,78288,최재훈,64646,박찬호,1,1,1,0.2127,0.7083,1.7793149594469868,3.243,1.573,R,박찬호 : 우익수 앞 1루타,13
15,1,0,250708_183348,1,1구 스트라이크,T,직구,149,52701,문동주,78288,최재훈,55645,위즈덤,0,1,1,0.118571,0.7083,2.599034373461986,3.453,1.675,R,,
16,1,0,250708_183544,2,2구 스트라이크,T,직구,149,52701,문동주,78288,최재훈,55645,위즈덤,0,2,1,-0.074252,0.7083,3.177358469573298,3.453,1.675,R,,
18,1,0,250708_183627,3,3구 파울,F,슬라이더,139,52701,문동주,78288,최재훈,55645,위즈덤,0,2,1,1.22436,0.7083,1.7775420528578771,3.453,1.675,R,,
19,1,0,250708_183655,4,4구 볼,B,직구,148,52701,문동주,78288,최재훈,55645,위즈덤,1,2,1,-0.652807,0.7083,4.0705598748571745,3.453,1.675,R,,
20,1,0,250708_183720,5,5구 타격,H,슬라이더,137,52701,문동주,78288,최재훈,55645,위즈덤,1,2,1,0.891879,0.7083,2.7195874359420547,3.453,1.675,R,위즈덤 : 1루수 플라이 아웃,13
24,1,0,250708_183808,1,1구 타격,H,포크,135,52701,문동주,78288,최재훈,72443,최형우,0,0,2,-0.852449,0.7083,2.373015238741233,3.334,1.617,L,최형우 : 중견수 앞 1루타,13
28,1,0,250708_183858,1,1구 스트라이크,T,커브,123,52701,문동주,78288,최재훈,69636,오선우,0,1,2,-0.661131,0.7083,3.257428361407131,3.353,1.626,L,,
29,1,0,250708_183917,2,2구 볼,B,직구,155,52701,문동주,78288,최재훈,69636,오선우,1,1,2,-0.972228,0.7083,2.505265608151052,3.353,1.626,L,,
30,1,0,250708_183941,3,3구 헛스윙,S,직구,153,52701,문동주,78288,최재훈,69636,오선우,1,2,2,-0.82285,0.7083,1.343940610427453,3.353,1.626,L,,
31,1,0,250708_184007,4,4구 타격,H,포크,140,52701,문동주,78288,최재훈,69636,오선우,1,2,2,-0.863241,0.7083,2.5729471233181007,3.353,1.626,L,오선우 : 중견수 앞 1루타,23
36,1,0,250708_184107,1,1구 스트라이크,T,직구,152,52701,문동주,78288,최재훈,66606,최원준,0,1,2,0.123042,0.7083,2.4971916532164182,3.276,1.589,L,,
37,1,0,250708_184125,2,2구 파울,F,슬라이더,137,52701,문동주,78288,최재훈,66606,최원준,0,2,2,0.763794,0.7083,0.7251571495519253,3.276,1.589,L,,
38,1,0,250708_184158,3,3구 볼,B,직구,154,52701,문동주,78288,최재훈,66606,최원준,1,2,2,-0.657237,0.7083,3.9246416968615807,3.276,1.589,L,,
39,1,0,250708_184224,4,4구 볼,B,포크,140,52701,문동주,78288,최재훈,66606,최원준,2,2,2,0.06414,0.7083,0.5990866891469131,3.276,1.589,L,,
40,1,0,250708_184250,5,5구 헛스윙,S,포크,141,52701,문동주,78288,최재훈,66606,최원준,2,3,2,-0.208173,0.7083,0.5054492972770075,3.276,1.589,L,최원준 : 포수 스트라이크 낫 아웃 (포수 태그아웃),13
44,1,1,250708_184513,1,1구 볼,B,직구,138,53613,윤영철,78122,김태군,68700,이원석,1,0,0,-0.406847,0.7083,4.429834149107704,3.254,1.578,R,,
45,1,1,250708_184527,2,2구 볼,B,슬라이더,123,53613,윤영철,78122,김태군,68700,이원석,2,0,0,2.377,0.7083,4.909709501644584,3.254,1.578,R,,
46,1,1,250708_184544,3,3구 볼,B,직구,139,53613,윤영철,78122,김태군,68700,이원석,3,0,0,-0.603244,0.7083,3.549691320102786,3.254,1.578,R,,
