seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250729_183016,1,1구 볼,B,직구,146,54729,황준서,78288,최재훈,52415,이재현,1,0,0,1.44819,0.7083,2.768216272148356,3.287,1.594,R,,
3,1,0,250729_183027,2,2구 스트라이크,T,직구,145,54729,황준서,78288,최재훈,52415,이재현,1,1,0,-0.545641,0.7083,1.6985416858932483,3.287,1.594,R,,
4,1,0,250729_183040,3,3구 스트라이크,T,포크,128,54729,황준서,78288,최재훈,52415,이재현,1,2,0,0.520622,0.7083,1.9936430919973493,3.287,1.594,R,,
5,1,0,250729_183052,4,4구 파울,F,직구,146,54729,황준서,78288,최재훈,52415,이재현,1,2,0,0.282052,0.7083,2.8817384723963153,3.287,1.594,R,,
6,1,0,250729_183109,5,5구 볼,B,포크,129,54729,황준서,78288,최재훈,52415,이재현,2,2,0,0.115125,0.7083,3.74959825616577,3.287,1.594,R,,
7,1,0,250729_183123,6,6구 타격,H,포크,128,54729,황준서,78288,최재훈,52415,이재현,2,2,0,-0.47787,0.7083,2.2249412691283204,3.287,1.594,R,이재현 : 좌익수 왼쪽 2루타,13
10,1,0,250729_183212,1,1구 스트라이크,T,직구,144,54729,황준서,78288,최재훈,67449,김성윤,0,1,0,-0.708123,0.7083,1.4002299512977392,2.996,1.453,L,,
12,1,0,250729_183251,2,2구 볼,B,직구,144,54729,황준서,78288,최재훈,67449,김성윤,1,1,0,-0.739539,0.7083,3.2618315733144305,2.996,1.453,L,,
13,1,0,250729_183314,3,3구 번트파울,W,포크,125,54729,황준서,78288,최재훈,67449,김성윤,1,2,0,-0.523448,0.7083,1.7695983146542726,2.996,1.453,L,,
14,1,0,250729_183344,4,4구 파울,F,직구,144,54729,황준서,78288,최재훈,67449,김성윤,1,2,0,-1.12561,0.7083,2.1951504153920003,2.996,1.453,L,,
15,1,0,250729_183411,5,5구 파울,F,포크,131,54729,황준서,78288,최재훈,67449,김성윤,1,2,0,-0.301351,0.7083,0.33579025258044526,2.996,1.453,L,,
16,1,0,250729_183440,6,6구 볼,B,포크,135,54729,황준서,78288,최재훈,67449,김성윤,2,2,0,-1.40728,0.7083,-0.32592359071506793,2.996,1.453,L,,
17,1,0,250729_183503,7,7구 타격,H,포크,126,54729,황준서,78288,최재훈,67449,김성윤,2,2,0,-0.516969,0.7083,2.892727263904138,2.996,1.453,L,김성윤 : 1루수 땅볼 아웃 (1루수->2루수 1루 터치아웃),13
21,1,0,250729_183547,1,1구 파울,F,커브,114,54729,황준서,78288,최재훈,62404,구자욱,0,1,1,-0.551821,0.7083,1.72775977837434,3.548,1.721,L,,
22,1,0,250729_183609,2,2구 파울,F,커브,114,54729,황준서,78288,최재훈,62404,구자욱,0,2,1,0.148312,0.7083,2.5233503921061295,3.548,1.721,L,,
23,1,0,250729_183633,3,3구 볼,B,직구,148,54729,황준서,78288,최재훈,62404,구자욱,1,2,1,-1.54843,0.7083,2.1359174123749156,3.548,1.721,L,,
24,1,0,250729_183652,4,4구 파울,F,직구,148,54729,황준서,78288,최재훈,62404,구자욱,1,2,1,-0.347228,0.7083,3.062516068252022,3.548,1.721,L,,
