seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250821_183018,1,1구 스트라이크,T,직구,140,76715,류현진,78288,최재훈,79231,정수빈,0,1,0,0.507791,0.7083,2.2267077251508365,3.219,1.561,L,,
3,1,0,250821_183038,2,2구 스트라이크,T,직구,141,76715,류현진,78288,최재훈,79231,정수빈,0,2,0,-0.558272,0.7083,2.4604146336164647,3.219,1.561,L,,
4,1,0,250821_183109,3,3구 파울,F,커브,115,76715,류현진,78288,최재훈,79231,정수빈,0,2,0,-0.957702,0.7083,2.1122105576792434,3.219,1.561,L,,
5,1,0,250821_183135,4,4구 타격,H,직구,144,76715,류현진,78288,최재훈,79231,정수빈,0,2,0,-0.789367,0.7083,1.5304271664552567,3.219,1.561,L,정수빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
8,1,0,250821_183215,1,1구 볼,B,커터,138,76715,류현진,78288,최재훈,63123,강승호,1,0,1,0.252859,0.7083,3.5594510603029628,3.289,1.595,R,,
9,1,0,250821_183319,2,2구 헛스윙,S,직구,143,76715,류현진,78288,최재훈,63123,강승호,1,1,1,-0.193743,0.7083,3.51443527392313,3.289,1.595,R,,
10,1,0,250821_183430,3,3구 파울,F,직구,143,76715,류현진,78288,최재훈,63123,강승호,1,2,1,-0.373099,0.7083,2.790716343374191,3.289,1.595,R,,
11,1,0,250821_183450,4,4구 타격,H,커터,137,76715,류현진,78288,최재훈,63123,강승호,1,2,1,0.588018,0.7083,2.455523431968396,3.289,1.595,R,강승호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),13
14,1,0,250821_183533,1,1구 볼,B,커터,139,76715,류현진,78288,최재훈,55208,케이브,1,0,2,-1.2239,0.7083,0.5597054852476073,3.376,1.638,L,,
15,1,0,250821_183552,2,2구 볼,B,커브,115,76715,류현진,78288,최재훈,55208,케이브,2,0,2,1.75815,0.7083,4.982858261849834,3.376,1.638,L,,
16,1,0,250821_183618,3,3구 스트라이크,T,커터,135,76715,류현진,78288,최재훈,55208,케이브,2,1,2,-0.678322,0.7083,3.121377997988248,3.376,1.638,L,,
17,1,0,250821_183636,4,4구 헛스윙,S,체인지업,130,76715,류현진,78288,최재훈,55208,케이브,2,2,2,0.288647,0.7083,1.7164555524537315,3.376,1.638,L,,
18,1,0,250821_183655,5,5구 파울,F,직구,147,76715,류현진,78288,최재훈,55208,케이브,2,2,2,-0.532815,0.7083,2.741096696158383,3.376,1.638,L,,
