seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250909_190037,1,1구 볼,B,직구,144,64021,박세웅,68518,정보근,77532,손아섭,1,0,0,-2.07761,0.7083,2.7740064681972516,3.21,1.557,L,,
3,1,0,250909_190052,2,2구 파울,F,포크,137,64021,박세웅,68518,정보근,77532,손아섭,1,1,0,-0.028752,0.7083,1.8597475947372646,3.21,1.557,L,,
4,1,0,250909_190136,3,3구 타격,H,슬라이더,133,64021,박세웅,68518,정보근,77532,손아섭,1,1,0,-0.150209,0.7083,1.551405770330914,3.21,1.557,L,손아섭 : 좌중간 2루타,13
7,1,0,250909_190229,1,1구 볼,B,직구,146,64021,박세웅,68518,정보근,55703,리베라토,1,0,0,-1.47718,0.7083,3.4125546537924594,3.417,1.657,L,,
8,1,0,250909_190252,2,2구 볼,B,슬라이더,136,64021,박세웅,68518,정보근,55703,리베라토,2,0,0,-0.646714,0.7083,1.151477884263039,3.417,1.657,L,,
9,1,0,250909_190317,3,3구 볼,B,직구,145,64021,박세웅,68518,정보근,55703,리베라토,3,0,0,-0.92115,0.7083,2.000723349835048,3.417,1.657,L,,
10,1,0,250909_190341,4,4구 스트라이크,T,직구,144,64021,박세웅,68518,정보근,55703,리베라토,3,1,0,-0.024856,0.7083,2.8650534755542347,3.417,1.657,L,,
11,1,0,250909_190404,5,5구 볼,B,직구,146,64021,박세웅,68518,정보근,55703,리베라토,4,1,0,-1.25054,0.7083,2.9484484683792043,3.417,1.657,L,리베라토 : 볼넷,13
15,1,0,250909_190511,1,1구 타격,H,슬라이더,135,64021,박세웅,68518,정보근,53764,문현빈,0,0,0,-0.613504,0.7083,2.1396191707212804,3.17,1.537,L,문현빈 : 투수 앞 번트안타,13
20,1,0,250909_190617,1,1구 헛스윙,S,직구,147,64021,박세웅,68518,정보근,69737,노시환,0,1,0,-0.641787,0.7083,1.8595455742205047,3.349,1.624,R,,
21,1,0,250909_190655,2,2구 파울,F,직구,147,64021,박세웅,68518,정보근,69737,노시환,0,2,0,-0.712642,0.7083,2.2548750128285766,3.349,1.624,R,,
22,1,0,250909_190728,3,3구 볼,B,커브,126,64021,박세웅,68518,정보근,69737,노시환,1,2,0,0.637525,0.7083,0.6671224745227988,3.349,1.624,R,,
23,1,0,250909_190800,4,4구 타격,H,슬라이더,137,64021,박세웅,68518,정보근,69737,노시환,1,2,0,0.628209,0.7083,2.1974527750951474,3.349,1.624,R,노시환 : 좌익수 앞 1루타,23
29,1,0,250909_190859,1,1구 파울,F,직구,147,64021,박세웅,68518,정보근,79192,채은성,0,1,0,0.037783,0.7083,2.060302222676836,3.426,1.662,R,,
30,1,0,250909_190926,2,2구 파울,F,직구,147,64021,박세웅,68518,정보근,79192,채은성,0,2,0,0.677052,0.7083,2.021565785689609,3.426,1.662,R,,
31,1,0,250909_190955,3,3구 스트라이크,T,직구,146,64021,박세웅,68518,정보근,79192,채은성,0,3,0,-0.321483,0.7083,3.2528922406038157,3.426,1.662,R,채은성 : 삼진 아웃,13
34,1,0,250909_191025,1,1구 스트라이크,T,슬라이더,138,64021,박세웅,68518,정보근,66657,이진영,0,1,1,0.511498,0.7083,1.642261582993318,3.373,1.636,R,,
35,1,0,250909_191043,2,2구 스트라이크,T,직구,147,64021,박세웅,68518,정보근,66657,이진영,0,2,1,-0.241127,0.7083,1.5708285662181944,3.373,1.636,R,,
36,1,0,250909_191107,3,3구 볼,B,커브,126,64021,박세웅,68518,정보근,66657,이진영,1,2,1,1.02632,0.7083,-0.9211889493794123,3.373,1.636,R,,
37,1,0,250909_191143,4,4구 헛스윙,S,직구,147,64021,박세웅,68518,정보근,66657,이진영,1,3,1,-0.355178,0.7083,3.798656361153604,3.373,1.636,R,이진영 : 삼진 아웃,13
40,1,0,250909_191219,1,1구 스트라이크,T,커브,119,64021,박세웅,68518,정보근,62700,하주석,0,1,2,-0.611505,0.7083,2.4022097414471952,3.365,1.632,L,,
41,1,0,250909_191238,2,2구 볼,B,직구,147,64021,박세웅,68518,정보근,62700,하주석,1,1,2,-1.33671,0.7083,3.065320534216762,3.365,1.632,L,,
42,1,0,250909_191259,3,3구 볼,B,슬라이더,136,64021,박세웅,68518,정보근,62700,하주석,2,1,2,-1.67847,0.7083,0.9388989563143952,3.365,1.632,L,,
43,1,0,250909_191323,4,4구 파울,F,슬라이더,137,64021,박세웅,68518,정보근,62700,하주석,2,2,2,-0.114897,0.7083,1.5381610816401192,3.365,1.632,L,,
44,1,0,250909_191400,5,5구 타격,H,커브,124,64021,박세웅,68518,정보근,62700,하주석,2,2,2,-0.297939,0.7083,1.7966617256246877,3.365,1.632,L,하주석 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),13
48,1,1,250909_191648,1,1구 볼,B,직구,152,54755,와이스,78288,최재훈,50500,황성빈,1,0,0,-0.417699,0.7083,3.45035685179023,3.15,1.528,L,,
49,1,1,250909_191701,2,2구 볼,B,직구,150,54755,와이스,78288,최재훈,50500,황성빈,2,0,0,-1.11629,0.7083,3.6147985480427054,3.15,1.528,L,,
50,1,1,250909_191720,3,3구 스트라이크,T,직구,151,54755,와이스,78288,최재훈,50500,황성빈,2,1,0,0.359975,0.7083,2.5128890913589954,3.15,1.528,L,,
51,1,1,250909_191733,4,4구 타격,H,직구,153,54755,와이스,78288,최재훈,50500,황성빈,2,1,0,0.768178,0.7083,1.4614879831849572,3.15,1.528,L,황성빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
54,1,1,250909_191806,1,1구 볼,B,직구,152,54755,와이스,78288,최재훈,69517,고승민,1,0,1,0.667802,0.7083,1.5771971988044986,3.457,1.677,L,,
55,1,1,250909_191820,2,2구 스트라이크,T,직구,153,54755,와이스,78288,최재훈,69517,고승민,1,1,1,0.652274,0.7083,1.8214251117625573,3.457,1.677,L,,
56,1,1,250909_191833,3,3구 볼,B,커브,129,54755,와이스,78288,최재훈,69517,고승민,2,1,1,0.685326,0.7083,0.3833764116163403,3.457,1.677,L,,
57,1,1,250909_191849,4,4구 볼,B,직구,152,54755,와이스,78288,최재훈,69517,고승민,3,1,1,-0.692809,0.7083,4.201910008186326,3.457,1.677,L,,
58,1,1,250909_191903,5,5구 볼,B,직구,151,54755,와이스,78288,최재훈,69517,고승민,4,1,1,1.21435,0.7083,2.427263564639735,3.457,1.677,L,고승민 : 볼넷,13
61,1,1,250909_191942,1,1구 볼,B,커브,129,54755,와이스,78288,최재훈,52591,윤동희,1,0,1,0.433415,0.7083,1.1560569898749637,3.446,1.671,R,,
62,1,1,250909_192002,2,2구 파울,F,직구,152,54755,와이스,78288,최재훈,52591,윤동희,1,1,1,0.505266,0.7083,2.3532712788454297,3.446,1.671,R,,
63,1,1,250909_192022,3,3구 파울,F,직구,152,54755,와이스,78288,최재훈,52591,윤동희,1,2,1,0.179234,0.7083,2.3216146413715437,3.446,1.671,R,,
64,1,1,250909_192045,4,4구 볼,B,직구,155,54755,와이스,78288,최재훈,52591,윤동희,2,2,1,0.905708,0.7083,1.3926567522778441,3.446,1.671,R,,
65,1,1,250909_192104,5,5구 헛스윙,S,스위퍼,134,54755,와이스,78288,최재훈,52591,윤동희,2,3,1,1.67129,0.7083,0.3640655309833014,3.446,1.671,R,윤동희 : 삼진 아웃,13
68,1,1,250909_192139,1,1구 스트라이크,T,직구,154,54755,와이스,78288,최재훈,54529,레이예스,0,1,2,0.40059,0.7083,2.7002659151281416,3.579,1.736,L,,
69,1,1,250909_192155,2,2구 타격,H,직구,155,54755,와이스,78288,최재훈,54529,레이예스,0,1,2,0.766455,0.7083,3.03899202656379,3.579,1.736,L,레이예스 : 우익수 플라이 아웃,13
73,2,0,250909_192403,1,1구 스트라이크,T,직구,141,64021,박세웅,68518,정보근,78288,최재훈,0,1,0,0.079303,0.7083,2.4200120234008864,3.241,1.572,R,,
74,2,0,250909_192416,2,2구 파울,F,슬라이더,130,64021,박세웅,68518,정보근,78288,최재훈,0,2,0,-0.156598,0.7083,1.627687661048077,3.241,1.572,R,,
75,2,0,250909_192434,3,3구 타격,H,직구,146,64021,박세웅,68518,정보근,78288,최재훈,0,2,0,0.237813,0.7083,2.4921295974016777,3.241,1.572,R,최재훈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
78,2,0,250909_192507,1,1구 헛스윙,S,슬라이더,129,64021,박세웅,68518,정보근,64006,심우준,0,1,1,-0.486643,0.7083,2.9305508894363355,3.34,1.62,R,,
79,2,0,250909_192526,2,2구 파울,F,슬라이더,134,64021,박세웅,68518,정보근,64006,심우준,0,2,1,-0.513661,0.7083,2.7552166141251613,3.34,1.62,R,,
80,2,0,250909_192553,3,3구 볼,B,슬라이더,137,64021,박세웅,68518,정보근,64006,심우준,1,2,1,1.69033,0.7083,0.6431884406981667,3.34,1.62,R,,
81,2,0,250909_192615,4,4구 헛스윙,S,직구,146,64021,박세웅,68518,정보근,64006,심우준,1,3,1,-0.690819,0.7083,3.9896215627594183,3.34,1.62,R,심우준 : 삼진 아웃,13
