seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250918_183218,1,1구 스트라이크,T,직구,150,55633,올러,68646,한준수,66657,이진영,0,1,0,0.497906,0.7083,2.6113253775029244,3.373,1.636,R,,
3,1,0,250918_183246,2,2구 볼,B,직구,152,55633,올러,68646,한준수,66657,이진영,1,1,0,1.02129,0.7083,3.6967555388738655,3.373,1.636,R,,
4,1,0,250918_183304,3,3구 볼,B,투심,150,55633,올러,68646,한준수,66657,이진영,2,1,0,1.33997,0.7083,1.9530133205033309,3.373,1.636,R,,
5,1,0,250918_183325,4,4구 볼,B,직구,151,55633,올러,68646,한준수,66657,이진영,3,1,0,0.94322,0.7083,1.5132026633416984,3.373,1.636,R,,
6,1,0,250918_183351,5,5구 타격,H,투심,151,55633,올러,68646,한준수,66657,이진영,3,1,0,0.744065,0.7083,2.4040360689450155,3.373,1.636,R,이진영 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
9,1,0,250918_183430,1,1구 파울,F,체인지업,142,55633,올러,68646,한준수,55703,리베라토,0,1,1,-0.470334,0.7083,1.8719560270555795,3.417,1.657,L,,
10,1,0,250918_183450,2,2구 파울,F,직구,152,55633,올러,68646,한준수,55703,리베라토,0,2,1,-0.330922,0.7083,2.7193357472839015,3.417,1.657,L,,
11,1,0,250918_183515,3,3구 헛스윙,S,체인지업,142,55633,올러,68646,한준수,55703,리베라토,0,3,1,-0.664287,0.7083,1.340870333691679,3.417,1.657,L,리베라토 : 삼진 아웃,13
14,1,0,250918_183548,1,1구 볼,B,직구,151,55633,올러,68646,한준수,53764,문현빈,1,0,2,-0.417128,0.7083,4.37921968046651,3.17,1.537,L,,
15,1,0,250918_183614,2,2구 볼,B,슬라이더,137,55633,올러,68646,한준수,53764,문현빈,2,0,2,-0.766148,0.7083,3.357313557334923,3.17,1.537,L,,
16,1,0,250918_183634,3,3구 파울,F,체인지업,142,55633,올러,68646,한준수,53764,문현빈,2,1,2,0.204675,0.7083,1.781562843324941,3.17,1.537,L,,
17,1,0,250918_183701,4,4구 헛스윙,S,슬라이더,137,55633,올러,68646,한준수,53764,문현빈,2,2,2,0.350653,0.7083,2.793425264088978,3.17,1.537,L,,
