seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250920_170037,1,1구 헛스윙,S,투심,134,64001,고영표,68089,조대현,54795,황영묵,0,1,0,-0.5331,0.7083,1.0893185737792135,3.225,1.564,L,,
3,1,0,250920_170055,2,2구 타격,H,체인지업,120,64001,고영표,68089,조대현,54795,황영묵,0,1,0,0.449525,0.7083,1.6748451426713116,3.225,1.564,L,황영묵 : 우익수 오른쪽 뒤 3루타,13
6,1,0,250920_170149,1,1구 볼,B,체인지업,119,64001,고영표,68089,조대현,55703,리베라토,1,0,0,-0.943806,0.7083,1.451664545387941,3.417,1.657,L,,
7,1,0,250920_170206,2,2구 볼,B,체인지업,116,64001,고영표,68089,조대현,55703,리베라토,2,0,0,-1.23238,0.7083,1.7576715669229381,3.417,1.657,L,,
8,1,0,250920_170225,3,3구 타격,H,커터,125,64001,고영표,68089,조대현,55703,리베라토,2,0,0,-0.297815,0.7083,2.6575307825703,3.417,1.657,L,리베라토 : 좌익수 플라이 아웃,13
12,1,0,250920_170319,1,1구 스트라이크,T,커브,118,64001,고영표,68089,조대현,53764,문현빈,0,1,2,0.818881,0.7083,3.1224593515030348,3.17,1.537,L,,
13,1,0,250920_170334,2,2구 파울,F,체인지업,122,64001,고영표,68089,조대현,53764,문현빈,0,2,2,-0.529328,0.7083,1.4501432770798424,3.17,1.537,L,,
14,1,0,250920_170407,3,3구 볼,B,체인지업,120,64001,고영표,68089,조대현,53764,문현빈,1,2,2,1.0266,0.7083,1.2857314560222362,3.17,1.537,L,,
15,1,0,250920_170426,4,4구 볼,B,커터,131,64001,고영표,68089,조대현,53764,문현빈,2,2,2,1.2131,0.7083,2.891584039318221,3.17,1.537,L,,
16,1,0,250920_170448,5,5구 타격,H,투심,137,64001,고영표,68089,조대현,53764,문현빈,2,2,2,0.310153,0.7083,2.774366107091456,3.17,1.537,L,문현빈 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
20,1,1,250920_170705,1,1구 볼,B,직구,154,55730,폰세,78288,최재훈,79240,허경민,1,0,0,0.882213,0.7083,1.437500727142442,3.267,1.584,R,,
21,1,1,250920_170717,2,2구 스트라이크,T,슬라이더,141,55730,폰세,78288,최재훈,79240,허경민,1,1,0,0.833183,0.7083,2.7330671328021414,3.267,1.584,R,,
22,1,1,250920_170733,3,3구 스트라이크,T,체인지업,140,55730,폰세,78288,최재훈,79240,허경민,1,2,0,-0.744154,0.7083,2.0302414892942955,3.267,1.584,R,,
23,1,1,250920_170749,4,4구 볼,B,직구,154,55730,폰세,78288,최재훈,79240,허경민,2,2,0,-1.74677,0.7083,1.5387015429106854,3.267,1.584,R,,
24,1,1,250920_170810,5,5구 볼,B,투심,154,55730,폰세,78288,최재훈,79240,허경민,3,2,0,0.367269,0.7083,0.6354648274785737,3.267,1.584,R,,
25,1,1,250920_170829,6,6구 파울,F,슬라이더,145,55730,폰세,78288,최재훈,79240,허경민,3,2,0,0.460295,0.7083,1.1570954816984749,3.267,1.584,R,,
26,1,1,250920_170852,7,7구 타격,H,직구,155,55730,폰세,78288,최재훈,79240,허경민,3,2,0,0.002079,0.7083,2.7514694585986215,3.267,1.584,R,허경민 : 좌익수 뒤 1루타,13
29,1,1,250920_170944,1,1구 볼,B,커브,129,55730,폰세,78288,최재훈,55013,스티븐슨,1,0,0,1.1282,0.7083,1.7403087005928808,3.355,1.627,L,,
30,1,1,250920_171006,2,2구 헛스윙,S,슬라이더,143,55730,폰세,78288,최재훈,55013,스티븐슨,1,1,0,0.996998,0.7083,1.3676359854579647,3.355,1.627,L,,
31,1,1,250920_171030,3,3구 헛스윙,S,슬라이더,144,55730,폰세,78288,최재훈,55013,스티븐슨,1,2,0,1.39503,0.7083,0.8859876111384746,3.355,1.627,L,,
32,1,1,250920_171056,4,4구 파울,F,직구,154,55730,폰세,78288,최재훈,55013,스티븐슨,1,2,0,-0.438736,0.7083,2.094058503724021,3.355,1.627,L,,
33,1,1,250920_171123,5,5구 볼,B,투심,154,55730,폰세,78288,최재훈,55013,스티븐슨,2,2,0,-1.47997,0.7083,3.8754696813446756,3.355,1.627,L,,
34,1,1,250920_171144,6,6구 볼,B,슬라이더,143,55730,폰세,78288,최재훈,55013,스티븐슨,3,2,0,1.23565,0.7083,0.8794965888746886,3.355,1.627,L,,
35,1,1,250920_171217,7,7구 볼,B,커브,133,55730,폰세,78288,최재훈,55013,스티븐슨,4,2,0,1.34613,0.7083,-0.8364861617202406,3.355,1.627,L,스티븐슨 : 볼넷,13
40,1,1,250920_171332,2,2구 타격,H,슬라이더,143,55730,폰세,78288,최재훈,52001,안현민,0,1,0,0.004433,0.7083,3.26080233009739,3.322,1.611,R,안현민 : 좌익수 뒤 홈런 (홈런거리:130M),23
46,1,1,250920_171455,1,1구 스트라이크,T,체인지업,140,55730,폰세,78288,최재훈,68050,강백호,0,1,0,0.324412,0.7083,1.8133843136926555,3.329,1.615,L,,
47,1,1,250920_171509,2,2구 볼,B,직구,154,55730,폰세,78288,최재훈,68050,강백호,1,1,0,0.874372,0.7083,0.7455872810784854,3.329,1.615,L,,
48,1,1,250920_171526,3,3구 헛스윙,S,체인지업,141,55730,폰세,78288,최재훈,68050,강백호,1,2,0,0.260101,0.7083,1.312707696714087,3.329,1.615,L,,
49,1,1,250920_171611,4,4구 볼,B,슬라이더,147,55730,폰세,78288,최재훈,68050,강백호,2,2,0,-1.03955,0.7083,1.9485849272857694,3.329,1.615,L,,
50,1,1,250920_171627,5,5구 볼,B,체인지업,141,55730,폰세,78288,최재훈,68050,강백호,3,2,0,-0.729388,0.7083,0.8248808073216054,3.329,1.615,L,,
51,1,1,250920_171644,6,6구 볼,B,체인지업,141,55730,폰세,78288,최재훈,68050,강백호,4,2,0,-1.23801,0.7083,2.373170455309546,3.329,1.615,L,강백호 : 볼넷,13
54,1,1,250920_171724,1,1구 스트라이크,T,커브,132,55730,폰세,78288,최재훈,76313,황재균,0,1,0,0.589812,0.7083,2.9832334068841018,3.369,1.634,R,,
55,1,1,250920_171745,2,2구 헛스윙,S,직구,153,55730,폰세,78288,최재훈,76313,황재균,0,2,0,-0.727111,0.7083,4.533179493097062,3.369,1.634,R,,
56,1,1,250920_171808,3,3구 볼,B,슬라이더,145,55730,폰세,78288,최재훈,76313,황재균,1,2,0,1.82855,0.7083,1.808162519311584,3.369,1.634,R,,
57,1,1,250920_171831,4,4구 헛스윙,S,체인지업,142,55730,폰세,78288,최재훈,76313,황재균,1,3,0,0.795471,0.7083,1.520819517328333,3.369,1.634,R,황재균 : 삼진 아웃,13
61,1,1,250920_171908,1,1구 볼,B,체인지업,141,55730,폰세,78288,최재훈,66706,장진혁,1,0,1,1.11022,0.7083,0.7526079436794681,3.402,1.65,L,,
62,1,1,250920_171935,2,2구 볼,B,커브,135,55730,폰세,78288,최재훈,66706,장진혁,2,0,1,1.96846,0.7083,0.8455825510682851,3.402,1.65,L,,
63,1,1,250920_172024,3,3구 헛스윙,S,체인지업,140,55730,폰세,78288,최재훈,66706,장진혁,2,1,1,-0.38137,0.7083,1.650032007545827,3.402,1.65,L,,
64,1,1,250920_172042,4,4구 헛스윙,S,직구,154,55730,폰세,78288,최재훈,66706,장진혁,2,2,1,-0.428481,0.7083,3.1951467364482475,3.402,1.65,L,,
65,1,1,250920_172112,5,5구 볼,B,체인지업,141,55730,폰세,78288,최재훈,66706,장진혁,3,2,1,0.603126,0.7083,0.7610787927640943,3.402,1.65,L,,
66,1,1,250920_172139,6,6구 파울,F,직구,154,55730,폰세,78288,최재훈,66706,장진혁,3,2,1,-0.745951,0.7083,2.969940330079571,3.402,1.65,L,,
67,1,1,250920_172203,7,7구 헛스윙,S,커브,132,55730,폰세,78288,최재훈,66706,장진혁,3,3,1,1.10506,0.7083,2.348335812678705,3.402,1.65,L,장진혁 : 삼진 아웃,13
70,1,1,250920_172237,1,1구 볼,B,직구,154,55730,폰세,78288,최재훈,64115,장준원,1,0,2,1.58771,0.7083,2.1298578508942354,3.393,1.646,R,,
71,1,1,250920_172257,2,2구 파울,F,슬라이더,143,55730,폰세,78288,최재훈,64115,장준원,1,1,2,0.628622,0.7083,3.186937716442909,3.393,1.646,R,,
72,1,1,250920_172324,3,3구 파울,F,직구,153,55730,폰세,78288,최재훈,64115,장준원,1,2,2,0.629961,0.7083,2.757529577060525,3.393,1.646,R,,
73,1,1,250920_172354,4,4구 볼,B,슬라이더,145,55730,폰세,78288,최재훈,64115,장준원,2,2,2,1.40401,0.7083,3.036250544226565,3.393,1.646,R,,
74,1,1,250920_172415,5,5구 볼,B,커브,134,55730,폰세,78288,최재훈,64115,장준원,3,2,2,1.03882,0.7083,2.6752451418110734,3.393,1.646,R,,
75,1,1,250920_172439,6,6구 타격,H,슬라이더,147,55730,폰세,78288,최재훈,64115,장준원,3,2,2,0.480415,0.7083,2.600337402987168,3.393,1.646,R,장준원 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),13
79,2,0,250920_172652,1,1구 스트라이크,T,투심,134,64001,고영표,68089,조대현,69737,노시환,0,1,0,-0.746211,0.7083,2.66878480117485,3.349,1.624,R,,
80,2,0,250920_172707,2,2구 스트라이크,T,체인지업,115,64001,고영표,68089,조대현,69737,노시환,0,2,0,0.600976,0.7083,1.6338535513749068,3.349,1.624,R,,
81,2,0,250920_172723,3,3구 파울,F,커터,128,64001,고영표,68089,조대현,69737,노시환,0,2,0,0.119831,0.7083,4.00170438192251,3.349,1.624,R,,
82,2,0,250920_172745,4,4구 타격,H,체인지업,117,64001,고영표,68089,조대현,69737,노시환,0,2,0,0.666179,0.7083,1.1598431802652902,3.349,1.624,R,노시환 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
85,2,0,250920_172829,1,1구 스트라이크,T,커브,118,64001,고영표,68089,조대현,79192,채은성,0,1,1,0.192706,0.7083,2.672826563906569,3.426,1.662,R,,
86,2,0,250920_172843,2,2구 파울,F,커터,128,64001,고영표,68089,조대현,79192,채은성,0,2,1,0.356039,0.7083,2.337408414675876,3.426,1.662,R,,
88,2,0,250920_172946,3,3구 볼,B,커터,129,64001,고영표,68089,조대현,79192,채은성,1,2,1,1.69633,0.7083,4.631101116724684,3.426,1.662,R,,
89,2,0,250920_173008,4,4구 타격,H,커터,129,64001,고영표,68089,조대현,79192,채은성,1,2,1,0.460196,0.7083,3.3138348717125257,3.426,1.662,R,채은성 : 중견수 플라이 아웃,13
92,2,0,250920_173053,1,1구 볼,B,체인지업,117,64001,고영표,68089,조대현,50707,최인호,1,0,2,-0.783657,0.7083,1.3450881040871714,3.263,1.583,L,,
93,2,0,250920_173107,2,2구 타격,H,커브,117,64001,고영표,68089,조대현,50707,최인호,1,0,2,0.019172,0.7083,2.3163953585317687,3.263,1.583,L,최인호 : 우익수 오른쪽 2루타,13
96,2,0,250920_173156,1,1구 스트라이크,T,체인지업,118,64001,고영표,68089,조대현,65703,이도윤,0,1,2,-0.308072,0.7083,2.4644615390043274,3.181,1.543,L,,
97,2,0,250920_173214,2,2구 타격,H,체인지업,116,64001,고영표,68089,조대현,65703,이도윤,0,1,2,-0.144249,0.7083,1.4782275156849565,3.181,1.543,L,이도윤 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
101,2,1,250920_173431,1,1구 볼,B,슬라이더,144,55730,폰세,78288,최재훈,68089,조대현,1,0,0,0.104627,0.7083,1.540902731489917,3.391,1.645,R,,
102,2,1,250920_173452,2,2구 스트라이크,T,투심,152,55730,폰세,78288,최재훈,68089,조대현,1,1,0,-0.270683,0.7083,1.615631538991881,3.391,1.645,R,,
103,2,1,250920_173506,3,3구 타격,H,커브,131,55730,폰세,78288,최재훈,68089,조대현,1,1,0,-0.317305,0.7083,2.431440395736367,3.391,1.645,R,조대현 : 투수 땅볼 아웃 (투수->1루수 송구아웃),13
106,2,1,250920_173543,1,1구 볼,B,커브,130,55730,폰세,78288,최재훈,51003,권동진,1,0,1,0.046161,0.7083,1.4277688152310857,3.281,1.592,L,,
107,2,1,250920_173558,2,2구 스트라이크,T,커브,133,55730,폰세,78288,최재훈,51003,권동진,1,1,1,0.802158,0.7083,1.8141492996500985,3.281,1.592,L,,
108,2,1,250920_173613,3,3구 헛스윙,S,슬라이더,147,55730,폰세,78288,최재훈,51003,권동진,1,2,1,-0.48157,0.7083,2.5365300461956446,3.281,1.592,L,,
109,2,1,250920_173628,4,4구 파울,F,직구,154,55730,폰세,78288,최재훈,51003,권동진,1,2,1,-0.731475,0.7083,2.57906210134132,3.281,1.592,L,,
110,2,1,250920_173651,5,5구 타격,H,체인지업,142,55730,폰세,78288,최재훈,51003,권동진,1,2,1,-0.135172,0.7083,1.763724582224313,3.281,1.592,L,권동진 : 중견수 플라이 아웃,13
113,2,1,250920_173735,1,1구 스트라이크,T,커브,132,55730,폰세,78288,최재훈,79240,허경민,0,1,2,0.172827,0.7083,1.7496479708637138,3.267,1.584,R,,
114,2,1,250920_173749,2,2구 타격,H,체인지업,144,55730,폰세,78288,최재훈,79240,허경민,0,1,2,0.648818,0.7083,1.6892514207120883,3.267,1.584,R,허경민 : 중견수 앞 1루타,13
117,2,1,250920_173833,1,1구 볼,B,체인지업,141,55730,폰세,78288,최재훈,55013,스티븐슨,1,0,2,-0.683319,0.7083,4.697837191782987,3.355,1.627,L,,
119,2,1,250920_173907,2,2구 볼,B,직구,153,55730,폰세,78288,최재훈,55013,스티븐슨,2,0,2,-0.773696,0.7083,5.5035210660022935,3.355,1.627,L,,
120,2,1,250920_173930,3,3구 스트라이크,T,커브,132,55730,폰세,78288,최재훈,55013,스티븐슨,2,1,2,0.539566,0.7083,2.506505851360098,3.355,1.627,L,,
121,2,1,250920_173950,4,4구 볼,B,직구,153,55730,폰세,78288,최재훈,55013,스티븐슨,3,1,2,0.800337,0.7083,3.777342328854607,3.355,1.627,L,,
123,2,1,250920_174032,5,5구 파울,F,슬라이더,145,55730,폰세,78288,최재훈,55013,스티븐슨,3,2,2,1.05247,0.7083,2.3086691262635304,3.355,1.627,L,,
124,2,1,250920_174137,6,6구 볼,B,직구,155,55730,폰세,78288,최재훈,55013,스티븐슨,4,2,2,1.5315,0.7083,1.5506432387658173,3.355,1.627,L,스티븐슨 : 볼넷,13
128,2,1,250920_174240,1,1구 볼,B,직구,156,55730,폰세,78288,최재훈,52001,안현민,1,0,2,1.14777,0.7083,2.1447685760832647,3.322,1.611,R,,
