seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250925_183059,1,1구 스트라이크,T,직구,142,55239,잭로그,66112,김기연,79608,안치홍,0,1,0,-0.370749,0.7083,2.69875186591399,3.254,1.578,R,,
3,1,0,250925_183112,2,2구 파울,F,직구,139,55239,잭로그,66112,김기연,79608,안치홍,0,2,0,-0.331216,0.7083,1.9129843761959755,3.254,1.578,R,,
4,1,0,250925_183154,3,3구 타격,H,투심,143,55239,잭로그,66112,김기연,79608,안치홍,0,2,0,0.362427,0.7083,1.9842154791117328,3.254,1.578,R,안치홍 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
7,1,0,250925_183231,1,1구 파울,F,직구,143,55239,잭로그,66112,김기연,55703,리베라토,0,1,1,1.06982,0.7083,3.2168048919723207,3.417,1.657,L,,
8,1,0,250925_183251,2,2구 스트라이크,T,스위퍼,124,55239,잭로그,66112,김기연,55703,리베라토,0,2,1,-0.052556,0.7083,2.680996856360973,3.417,1.657,L,,
9,1,0,250925_183307,3,3구 헛스윙,S,스위퍼,127,55239,잭로그,66112,김기연,55703,리베라토,0,3,1,-1.06524,0.7083,2.138650688549591,3.417,1.657,L,리베라토 : 삼진 아웃,13
12,1,0,250925_183345,1,1구 볼,B,직구,144,55239,잭로그,66112,김기연,53764,문현빈,1,0,2,-1.15612,0.7083,2.078275601895487,3.17,1.537,L,,
13,1,0,250925_183359,2,2구 타격,H,직구,143,55239,잭로그,66112,김기연,53764,문현빈,1,0,2,-0.038532,0.7083,1.6501996728082324,3.17,1.537,L,문현빈 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),13
17,1,1,250925_183609,1,1구 볼,B,직구,152,54755,와이스,78288,최재훈,51203,안재석,1,0,0,0.940404,0.7083,2.5418749289531952,3.419,1.658,L,,
18,1,1,250925_183621,2,2구 스트라이크,T,직구,152,54755,와이스,78288,최재훈,51203,안재석,1,1,0,0.144059,0.7083,2.335261799724745,3.419,1.658,L,,
19,1,1,250925_183633,3,3구 타격,H,커브,128,54755,와이스,78288,최재훈,51203,안재석,1,1,0,-0.207895,0.7083,2.1534200988495495,3.419,1.658,L,안재석 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
