seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250926_183005,1,1구 스트라이크,T,직구,140,76715,류현진,78288,최재훈,66108,홍창기,0,1,0,-0.813833,0.7083,2.866431592375685,3.49,1.693,L,,
3,1,0,250926_183022,2,2구 스트라이크,T,커브,115,76715,류현진,78288,최재훈,66108,홍창기,0,2,0,-0.446452,0.7083,3.0193501030086054,3.49,1.693,L,,
4,1,0,250926_183039,3,3구 볼,B,직구,144,76715,류현진,78288,최재훈,66108,홍창기,1,2,0,-1.07204,0.7083,1.830782564433784,3.49,1.693,L,,
5,1,0,250926_183059,4,4구 타격,H,직구,144,76715,류현진,78288,최재훈,66108,홍창기,1,2,0,-0.043647,0.7083,3.3100458587206285,3.49,1.693,L,홍창기 : 좌익수 앞 1루타,13
8,1,0,250926_183147,1,1구 타격,H,커터,137,76715,류현진,78288,최재훈,65207,신민재,0,0,0,-0.440323,0.7083,3.086699035465541,3.133,1.52,L,신민재 : 중견수 플라이 아웃,13
11,1,0,250926_183235,1,1구 스트라이크,T,직구,145,76715,류현진,78288,최재훈,53123,오스틴,0,1,1,-0.254111,0.7083,2.5247311393034373,3.371,1.635,R,,
12,1,0,250926_183254,2,2구 타격,H,체인지업,129,76715,류현진,78288,최재훈,53123,오스틴,0,1,1,0.232593,0.7083,1.9868462671093652,3.371,1.635,R,오스틴 : 좌익수 왼쪽 1루타,13
16,1,0,250926_183338,1,1구 볼,B,커터,139,76715,류현진,78288,최재훈,76290,김현수,1,0,1,-1.04082,0.7083,2.349559979253628,3.503,1.699,L,,
17,1,0,250926_183359,2,2구 볼,B,직구,146,76715,류현진,78288,최재훈,76290,김현수,2,0,1,-0.449821,0.7083,3.960349666276051,3.503,1.699,L,,
18,1,0,250926_183425,3,3구 스트라이크,T,직구,146,76715,류현진,78288,최재훈,76290,김현수,2,1,1,-0.790354,0.7083,3.4669046943524595,3.503,1.699,L,,
19,1,0,250926_183449,4,4구 볼,B,커터,138,76715,류현진,78288,최재훈,76290,김현수,3,1,1,-1.37607,0.7083,1.1006300144734547,3.503,1.699,L,,
20,1,0,250926_183513,5,5구 타격,H,직구,147,76715,류현진,78288,최재훈,76290,김현수,3,1,1,-0.119556,0.7083,3.313447370122316,3.503,1.699,L,김현수 : 유격수 라인드라이브 아웃,13
25,1,1,250926_183729,1,1구 볼,B,투심,145,55146,치리노스,79365,박동원,66657,이진영,1,0,0,1.0191,0.7083,2.847790970197127,3.373,1.636,R,,
