seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250930_183034,1,1구 헛스윙,S,직구,155,54755,와이스,78288,최재훈,52568,한태양,0,1,0,0.285123,0.7083,3.211761825935036,3.318,1.609,R,,
3,1,0,250930_183050,2,2구 볼,B,직구,155,54755,와이스,78288,최재훈,52568,한태양,1,1,0,1.16621,0.7083,1.9173471216234896,3.318,1.609,R,,
4,1,0,250930_183104,3,3구 헛스윙,S,직구,154,54755,와이스,78288,최재훈,52568,한태양,1,2,0,-0.521843,0.7083,3.185652993740664,3.318,1.609,R,,
5,1,0,250930_183125,4,4구 볼,B,직구,154,54755,와이스,78288,최재훈,52568,한태양,2,2,0,0.983925,0.7083,1.3424060343059128,3.318,1.609,R,,
6,1,0,250930_183141,5,5구 헛스윙,S,스위퍼,137,54755,와이스,78288,최재훈,52568,한태양,2,3,0,1.07423,0.7083,0.937589897310168,3.318,1.609,R,한태양 : 삼진 아웃,13
9,1,0,250930_183215,1,1구 볼,B,직구,156,54755,와이스,78288,최재훈,69517,고승민,1,0,1,-0.975697,0.7083,2.9972216805519674,3.457,1.677,L,,
10,1,0,250930_183228,2,2구 스트라이크,T,커브,130,54755,와이스,78288,최재훈,69517,고승민,1,1,1,-0.711918,0.7083,3.1179027229444554,3.457,1.677,L,,
11,1,0,250930_183241,3,3구 헛스윙,S,체인지업,142,54755,와이스,78288,최재훈,69517,고승민,1,2,1,-0.520939,0.7083,1.2546724830779419,3.457,1.677,L,,
12,1,0,250930_183256,4,4구 타격,H,직구,156,54755,와이스,78288,최재훈,69517,고승민,1,2,1,0.638952,0.7083,2.6673640257372098,3.457,1.677,L,고승민 : 유격수 플라이 아웃,13
15,1,0,250930_183328,1,1구 볼,B,직구,155,54755,와이스,78288,최재훈,54529,레이예스,1,0,2,0.929813,0.7083,2.151102094318592,3.579,1.736,L,,
16,1,0,250930_183340,2,2구 타격,H,직구,154,54755,와이스,78288,최재훈,54529,레이예스,1,0,2,0.798557,0.7083,2.908266090708233,3.579,1.736,L,레이예스 : 유격수 플라이 아웃,13
20,1,1,250930_183547,1,1구 볼,B,체인지업,135,55526,벨라스케즈,51528,손성빈,77532,손아섭,1,0,0,-1.43557,0.7083,2.2615814982016054,3.21,1.557,L,,
21,1,1,250930_183600,2,2구 볼,B,직구,146,55526,벨라스케즈,51528,손성빈,77532,손아섭,2,0,0,-1.04132,0.7083,3.679679606676477,3.21,1.557,L,,
22,1,1,250930_183616,3,3구 스트라이크,T,직구,147,55526,벨라스케즈,51528,손성빈,77532,손아섭,2,1,0,-0.285093,0.7083,2.825655647386731,3.21,1.557,L,,
23,1,1,250930_183630,4,4구 스트라이크,T,슬라이더,134,55526,벨라스케즈,51528,손성빈,77532,손아섭,2,2,0,-0.443871,0.7083,2.546345322269041,3.21,1.557,L,,
24,1,1,250930_183645,5,5구 타격,H,커브,130,55526,벨라스케즈,51528,손성빈,77532,손아섭,2,2,0,0.225927,0.7083,1.036138940116344,3.21,1.557,L,손아섭 : 좌익수 플라이 아웃,13
27,1,1,250930_183720,1,1구 파울,F,투심,150,55526,벨라스케즈,51528,손성빈,55703,리베라토,0,1,1,-0.380219,0.7083,2.6532445828830156,3.417,1.657,L,,
28,1,1,250930_183741,2,2구 볼,B,직구,149,55526,벨라스케즈,51528,손성빈,55703,리베라토,1,1,1,-0.883762,0.7083,5.019616867484125,3.417,1.657,L,,
29,1,1,250930_183801,3,3구 타격,H,커브,126,55526,벨라스케즈,51528,손성빈,55703,리베라토,1,1,1,-0.430448,0.7083,2.2945364466439404,3.417,1.657,L,리베라토 : 중견수 플라이 아웃,13
